"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.28583887966699e-08,7,57,26.5089374379345,"Path:hsa00480 Glutathione metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00480 "," G6PD  GSR  GSS  GSTA2  GSTM1  GSTP1  GGCT"
2.31996303807096e-08,8,89,19.4030103879584,"Path:hsa05235 PD-L1 expression and PD-1 checkpoint pathway in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05235 "," EGFR  FOS  JAK1  JAK2  JUN  PIK3R1  RELA  STAT3"
2.99032951055866e-08,8,92,18.7703035274815,"Path:hsa04658 Th1 and Th2 cell differentiation","http://www.genome.jp/kegg-bin/show_pathway?hsa04658 "," FOS  JAK1  JAK2  JUN  MAPK8  RELA  STAT4  STAT5B"
4.20651714233499e-08,11,240,9.8935141509434,"Path:hsa04020 Calcium signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04020 "," EGFR  ERBB2  GNAQ  GRIN2A  NGF  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  CD38"
5.57499160891048e-08,9,142,13.6811719372841,"Path:hsa05017 Spinocerebellar ataxia","http://www.genome.jp/kegg-bin/show_pathway?hsa05017 "," GNAQ  GRIN2A  PDYN  PIK3R1  PLCB3  PRKCA  PRKCB  MAPK8  TRAF2"
6.07750957823027e-08,8,101,17.0977022230525,"Path:hsa05142 Chagas disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05142 "," FOS  GNAQ  IL6  JUN  PIK3R1  PLCB3  MAPK8  RELA"
7.37993479674e-08,9,147,13.2158259530227,"Path:hsa05224 Breast cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05224 "," CTNNB1  EGFR  ERBB2  FOS  SHC2  JUN  PIK3R1  BRCA1  TP53"
9.06895129191436e-08,10,202,10.6860638894078,"Path:hsa05169 Epstein-Barr virus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05169 "," IL6  JAK1  JUN  PIK3R1  MAPK8  RELA  STAT3  TP53  TRAF2  CASP3"
9.06895129191436e-08,7,70,21.5858490566038,"Path:hsa05230 Central carbon metabolism in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05230 "," EGFR  ERBB2  G6PD  HK2  HK3  PIK3R1  TP53"
9.9225939164376e-08,7,71,21.281823013553,"Path:hsa04520 Adherens junction","http://www.genome.jp/kegg-bin/show_pathway?hsa04520 "," CREBBP  CTNNB1  EGFR  EP300  ERBB2  FYN  ACTB"
