"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.84711060045163e-15,36,1538,4.95903771131339,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CDIPT  PTGES3  ALDH1L1  CYP1A1  CYP1A2  CYP2B6  CYP2E1  CYP3A4  DHFR  EPHX2  ALDH1A1  AKR1B1  SIRT1  GAA  GLA  HPGDS  GSR  GSTM1  GSTP1  GYG1  GYS1  HK1  HSD3B1  KMT2A  PLCE1  PLCG1  PSPH  PTGS2  PYGB  SRR  SHMT2  EHMT1  NUDT12  AKR1C3  CBR1  CD38"
1.0731805501225e-14,14,120,24.7171296296296,"Path:hsa04935 Growth hormone synthesis secretion and action","http://www.genome.jp/kegg-bin/show_pathway?hsa04935 "," CREB1  CREBBP  EP300  MTOR  GNAQ  JAK2  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  MAPK8  SHC1  STAT3"
3.4719776600582e-14,14,131,22.6416454622561,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CREBBP  EGFR  EP300  FOXO1  SIRT1  IL6  ATM  NRAS  PRKAG2  PIK3R1  PRKAG1  MAPK8  STAT3  STK4"
3.8851920530294e-14,17,246,14.6408084914182,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," EGFR  FOXO1  MTOR  HK1  JUN  ATM  NFKB1  PLCE1  PIK3R1  PLCG1  MAPK8  BAX  ACTB  TP53  TRAF2  UBC  H3C6"
3.8851920530294e-14,15,167,19.0294411177645,"Path:hsa05225 Hepatocellular carcinoma","http://www.genome.jp/kegg-bin/show_pathway?hsa05225 "," CTNNB1  EGFR  MTOR  GSTM1  GSTP1  NFE2L2  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  BAX  ACTB  SHC1  TP53"
6.20621287492961e-14,13,108,25.5018004115226,"Path:hsa04931 Insulin resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa04931 "," CREB1  FOXO1  MTOR  GYS1  IL6  NFKB1  PRKAG2  PIK3R1  PPP1CA  PRKAG1  MAPK8  PYGB  STAT3"
8.33582026474984e-14,12,84,30.265873015873,"Path:hsa04012 ErbB signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04012 "," EGFR  MTOR  ABL1  JUN  NRAS  PIK3R1  PLCG1  PRKCA  PRKCG  MAPK8  SHC1  CAMK2A"
1.09308707923835e-13,16,221,15.3383609854198,"Path:hsa04024 cAMP signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04024 "," CREB1  CREBBP  EP300  GCG  GRIN2A  JUN  AFDN  NFKB1  PLCE1  PIK3R1  POMC  PPP1CA  MAPK8  RAP1A  TSHR  CAMK2A"
1.19310779920613e-13,16,223,15.2007972097658,"Path:hsa05208 Chemical carcinogenesis-reactive oxygen species","http://www.genome.jp/kegg-bin/show_pathway?hsa05208 "," CYP1A1  CYP1A2  CYP2E1  EGFR  EPHX2  ABL1  GSTM1  JUN  NFE2L2  NFKB1  NRAS  PIK3R1  PRKD1  MAPK8  AKR1C3  CBR1"
1.45987343836513e-13,12,89,28.565543071161,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," CREB1  FOXO1  SIRT1  MTOR  NFKB1  NRAS  PRKAG2  PIK3R1  PRKAG1  BAX  TP53  EHMT1"
