Protein,Neighborhood_1,Compound,Tag
NDUFS6,Target,Pain,Target-Pain
NDUFAF4,Target,Pain,Target-Pain
NDUFC2,Target,Pain,Target-Pain
NDUFA6,Target,Pain,Target-Pain
NDUFS3,Target,Pain,Target-Pain
NDUFAB1,Target,Pain,Target-Pain
NDUFB3,Target,Pain,Target-Pain
NDUFAF1,Target,Pain,Target-Pain
NDUFV2,Target,Pain,Target-Pain
NDUFB11,Target,Pain,Target-Pain
NDUFA12,Target,Pain,Target-Pain
NDUFA9,Target,Pain,Target-Pain
NDUFS1,Target,Pain,Target-Pain
NDUFB5,Target,Pain,Target-Pain
NDUFB9,Target,Pain,Target-Pain
NDUFA11,Target,Pain,Target-Pain
NDUFS8,Target,Pain,Target-Pain
NDUFAF3,Target,Pain,Target-Pain
NDUFA13,Target,Pain,Target-Pain
NDUFB1,Target,Pain,Target-Pain
NDUFS2,Target,Pain,Target-Pain
GPD2,Target,Pain,Target-Pain
MT-ND2,Target,Pain,Target-Pain
NDUFA5,Target,Pain,Target-Pain
NDUFS5,Target,Pain,Target-Pain
MT-ND5,Target,Pain,Target-Pain
NDUFV3,Target,Pain,Target-Pain
NDUFA4L2,Target,Pain,Target-Pain
NDUFA8,Target,Pain,Target-Pain
MT-ND4L,Target,Pain,Target-Pain
NDUFA4,Target,Pain,Target-Pain
MT-ND6,Target,Pain,Target-Pain
NDUFC1,Target,Pain,Target-Pain
ABCG5,Target,Pain,Target-Pain
EHBP1L1,Target,Pain,Target-Pain
GPX1,Target,Pain,Target-Pain
ARMS2,Target,Pain,Target-Pain
GPX7,Target,Pain,Target-Pain
MST1R,Target,Pain,Target-Pain
NF1,Target,Pain,Target-Pain
TGFB1,Target,Pain,Target-Pain
HORMAD2,Target,Pain,Target-Pain
AR,Target,Pain,Target-Pain
CACYBP,Target,Pain,Target-Pain
RBL2,Target,Pain,Target-Pain
XAB2,Target,Pain,Target-Pain
KDM2A,Target,Pain,Target-Pain
ORC4,Target,Pain,Target-Pain
TACR1,Target,Pain,Target-Pain
AGBL5,Target,Pain,Target-Pain
APEH,Target,Pain,Target-Pain
PRKCE,Target,Pain,Target-Pain
CHRNA4,Target,Pain,Target-Pain
BDKRB1,Target,Pain,Target-Pain
CALCRL,Target,Pain,Target-Pain
ZNF738,Target,Pain,Target-Pain
CDK13,Target,Pain,Target-Pain
HTR3E,Target,Pain,Target-Pain
CHRNB2,Target,Pain,Target-Pain
CRBN,Target,Pain,Target-Pain
ESRRG,Target,Pain,Target-Pain
TRPV3,Target,Pain,Target-Pain
RBX1,Target,Pain,Target-Pain
MAPK11,Target,Pain,Target-Pain
HTR3C,Target,Pain,Target-Pain
GUCY1A2,Target,Pain,Target-Pain
CA12,Target,Pain,Target-Pain
GUCY1A1,Target,Pain,Target-Pain
DDB1,Target,Pain,Target-Pain
SSTR5,Target,Pain,Target-Pain
SSTR2,Target,Pain,Target-Pain
SSTR1,Target,Pain,Target-Pain
HTR3D,Target,Pain,Target-Pain
CUL4A,Target,Pain,Target-Pain
SSTR3,Target,Pain,Target-Pain
HTR4,Target,Pain,Target-Pain
HTR3B,Target,Pain,Target-Pain
NAA80,Target,Pain,Target-Pain
CFDP1,Target,Pain,Target-Pain
TBC1D7,Target,Pain,Target-Pain
GFOD1,Target,Pain,Target-Pain
CFAP337,Target,Pain,Target-Pain
SEMA3F,Target,Pain,Target-Pain
DYNLT5,Target,Pain,Target-Pain
SIGLEC12,Target,Pain,Target-Pain
SIGLECL1,Target,Pain,Target-Pain
CCDC71,Target,Pain,Target-Pain
RNF123,Target,Pain,Target-Pain
CALN1,Target,Pain,Target-Pain
MAPK10,Target,Pain,Target-Pain
LAMA5,Target,Pain,Target-Pain
SERPINI2,Target,Pain,Target-Pain
TRAPPC6A,Target,Pain,Target-Pain
FANCL,Target,Pain,Target-Pain
SYT14,Target,Pain,Target-Pain
RAB18,Target,Pain,Target-Pain
ZBTB46,Target,Pain,Target-Pain
CRHR1,Target,Pain,Target-Pain
CCN4,Target,Pain,Target-Pain
C17ORF58,Target,Pain,Target-Pain
IL20RB,Target,Pain,Target-Pain
ATP8B2,Target,Pain,Target-Pain
TDRD3,Target,Pain,Target-Pain
ST8SIA1,Target,Pain,Target-Pain
ABCC9,Target,Pain,Target-Pain
LMNTD1,Target,Pain,Target-Pain
RGS13,Target,Pain,Target-Pain
CMAS,Target,Pain,Target-Pain
RGS1,Target,Pain,Target-Pain
RGS2,Target,Pain,Target-Pain
SYCE1L,Target,Pain,Target-Pain
UVSSA,Target,Pain,Target-Pain
SUN1,Target,Pain,Target-Pain
UBA7,Target,Pain,Target-Pain
PCDH8,Target,Pain,Target-Pain
QTRT1,Target,Pain,Target-Pain
NSD1,Target,Pain,Target-Pain
HTT,Target,Pain,Target-Pain
SPOPL,Target,Pain,Target-Pain
BPTF,Target,Pain,Target-Pain
GPER1,Target,Pain,Target-Pain
IGFBP2,Target,Pain,Target-Pain
SLC45A4,Target,Pain,Target-Pain
GTDC1,Target,Pain,Target-Pain
