Protein,Neighborhood_1,Compound,Tag
NTN4,Target,Pain,Target-Pain
NFIB,Target,Pain,Target-Pain
GSTK1,Target,Pain,Target-Pain
MOK,Target,Pain,Target-Pain
PRH1; PRH2,Target,Pain,Target-Pain
SELE,Target,Pain,Target-Pain
SLCO6A1,Target,Pain,Target-Pain
NRP1,Target,Pain,Target-Pain
NELL1,Target,Pain,Target-Pain
MBD2,Target,Pain,Target-Pain
BBS9,Target,Pain,Target-Pain
CDKN2A,Target,Pain,Target-Pain
HDAC4,Target,Pain,Target-Pain
CD274,Target,Pain,Target-Pain
IFNA17,Target,Pain,Target-Pain
ATXN2L,Target,Pain,Target-Pain
CAMK2G,Target,Pain,Target-Pain
CAMK2A,Target,Pain,Target-Pain
CAMK2B,Target,Pain,Target-Pain
KCNA3,Target,Pain,Target-Pain
COL9A3,Target,Pain,Target-Pain
CXCL1,Target,Pain,Target-Pain
GSTM1,Target,Pain,Target-Pain
COMP,Target,Pain,Target-Pain
TLR2,Target,Pain,Target-Pain
CPOX,Target,Pain,Target-Pain
SRGAP3,Target,Pain,Target-Pain
COX5A,Target,Pain,Target-Pain
COX8A,Target,Pain,Target-Pain
SUPT4H1,Target,Pain,Target-Pain
DPP4,Target,Pain,Target-Pain
ENTPD3,Target,Pain,Target-Pain
UPK3B,Target,Pain,Target-Pain
CSTB,Target,Pain,Target-Pain
TSHR,Target,Pain,Target-Pain
FCGR3B,Target,Pain,Target-Pain
RPL17,Target,Pain,Target-Pain
ATF6,Target,Pain,Target-Pain
WNT1,Target,Pain,Target-Pain
LPAL2,Target,Pain,Target-Pain
GSDMB,Target,Pain,Target-Pain
TIMP4,Target,Pain,Target-Pain
H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16,Target,Pain,Target-Pain
EBI3,Target,Pain,Target-Pain
PDE6B,Target,Pain,Target-Pain
KREMEN1,Target,Pain,Target-Pain
RHEB,Target,Pain,Target-Pain
WTAP,Target,Pain,Target-Pain
NR4A1,Target,Pain,Target-Pain
ADAM17,Target,Pain,Target-Pain
ALKBH5,Target,Pain,Target-Pain
SREBF1,Target,Pain,Target-Pain
DDR1,Target,Pain,Target-Pain
FABP2,Target,Pain,Target-Pain
CLEC7A,Target,Pain,Target-Pain
CCL16,Target,Pain,Target-Pain
THBS2,Target,Pain,Target-Pain
SH3BGRL3,Target,Pain,Target-Pain
KLK5,Target,Pain,Target-Pain
RENBP,Target,Pain,Target-Pain
ANXA1,Target,Pain,Target-Pain
GPR37,Target,Pain,Target-Pain
SPATA2,Target,Pain,Target-Pain
SPINK1,Target,Pain,Target-Pain
MMP24,Target,Pain,Target-Pain
ABCA1,Target,Pain,Target-Pain
GCHFR,Target,Pain,Target-Pain
CSE1L,Target,Pain,Target-Pain
CTNND1,Target,Pain,Target-Pain
YWHAE,Target,Pain,Target-Pain
ACP5,Target,Pain,Target-Pain
SCIN,Target,Pain,Target-Pain
PDCD1,Target,Pain,Target-Pain
CDK6,Target,Pain,Target-Pain
TRAC,Target,Pain,Target-Pain
CSF3R,Target,Pain,Target-Pain
MNAT1,Target,Pain,Target-Pain
CDCA5,Target,Pain,Target-Pain
IL12A,Target,Pain,Target-Pain
ASL,Target,Pain,Target-Pain
DVL1,Target,Pain,Target-Pain
DVL1P1,Target,Pain,Target-Pain
WNK3,Target,Pain,Target-Pain
FCGR3A,Target,Pain,Target-Pain
RASGRP1,Target,Pain,Target-Pain
CALB2,Target,Pain,Target-Pain
TLR9,Target,Pain,Target-Pain
CLCA4,Target,Pain,Target-Pain
MMP28,Target,Pain,Target-Pain
RBFOX3,Target,Pain,Target-Pain
MGST3,Target,Pain,Target-Pain
NT5E,Target,Pain,Target-Pain
OPN1SW,Target,Pain,Target-Pain
CLCA1,Target,Pain,Target-Pain
RASSF1,Target,Pain,Target-Pain
CDK5R1,Target,Pain,Target-Pain
LPL,Target,Pain,Target-Pain
ATG4C,Target,Pain,Target-Pain
PROK2,Target,Pain,Target-Pain
OTULIN,Target,Pain,Target-Pain
GPR84,Target,Pain,Target-Pain
ABCB6,Target,Pain,Target-Pain
MBTPS1,Target,Pain,Target-Pain
ERAL1,Target,Pain,Target-Pain
NAT10,Target,Pain,Target-Pain
GPR151,Target,Pain,Target-Pain
TYRP1,Target,Pain,Target-Pain
TBPL1,Target,Pain,Target-Pain
PLA2G6,Target,Pain,Target-Pain
STAT1,Target,Pain,Target-Pain
F7,Target,Pain,Target-Pain
EPHB1,Target,Pain,Target-Pain
TAT,Target,Pain,Target-Pain
CASP3,Target,Pain,Target-Pain
RIPK1,Target,Pain,Target-Pain
CYP17A1,Target,Pain,Target-Pain
MATN3,Target,Pain,Target-Pain
PDGFB,Target,Pain,Target-Pain
COL9A1,Target,Pain,Target-Pain
GRM7,Target,Pain,Target-Pain
FGFR2,Target,Pain,Target-Pain
CNTN1,Target,Pain,Target-Pain
CXCR5,Target,Pain,Target-Pain
C5,Target,Pain,Target-Pain
EHMT2,Target,Pain,Target-Pain
NPPC,Target,Pain,Target-Pain
POMC,Target,Pain,Target-Pain
EHMT1,Target,Pain,Target-Pain
PENK,Target,Pain,Target-Pain
GAD2,Target,Pain,Target-Pain
ITGB2,Target,Pain,Target-Pain
PVALB,Target,Pain,Target-Pain
SST,Target,Pain,Target-Pain
B3GAT1,Target,Pain,Target-Pain
MAP2,Target,Pain,Target-Pain
TNFSF13B,Target,Pain,Target-Pain
MZF1,Target,Pain,Target-Pain
TNFRSF11B,Target,Pain,Target-Pain
SYK,Target,Pain,Target-Pain
RUNX1,Target,Pain,Target-Pain
AURKB,Target,Pain,Target-Pain
GSR,Target,Pain,Target-Pain
FBXO32,Target,Pain,Target-Pain
APLN,Target,Pain,Target-Pain
FFAR3,Target,Pain,Target-Pain
PRDM9,Target,Pain,Target-Pain
UNC13A,Target,Pain,Target-Pain
IL18BP,Target,Pain,Target-Pain
HAP1,Target,Pain,Target-Pain
APEX1,Target,Pain,Target-Pain
GGT1,Target,Pain,Target-Pain
BMP4,Target,Pain,Target-Pain
CASP6,Target,Pain,Target-Pain
APLNR,Target,Pain,Target-Pain
NTF4,Target,Pain,Target-Pain
RNASE3,Target,Pain,Target-Pain
TFRC,Target,Pain,Target-Pain
RPSA,Target,Pain,Target-Pain
RPSA2,Target,Pain,Target-Pain
KCNA6,Target,Pain,Target-Pain
PLXNB1,Target,Pain,Target-Pain
GH2,Target,Pain,Target-Pain
ANGPT2,Target,Pain,Target-Pain
KRT18,Target,Pain,Target-Pain
ANGPTL4,Target,Pain,Target-Pain
MERTK,Target,Pain,Target-Pain
PTPRA,Target,Pain,Target-Pain
SLC16A4,Target,Pain,Target-Pain
SLC16A1,Target,Pain,Target-Pain
TAFA4,Target,Pain,Target-Pain
GCH1,Target,Pain,Target-Pain
SLC26A2,Target,Pain,Target-Pain
PSMA2,Target,Pain,Target-Pain
LGI1,Target,Pain,Target-Pain
MYT1,Target,Pain,Target-Pain
MTF1,Target,Pain,Target-Pain
HDAC6,Target,Pain,Target-Pain
MVP,Target,Pain,Target-Pain
IL17RA,Target,Pain,Target-Pain
RXFP2,Target,Pain,Target-Pain
GCGR,Target,Pain,Target-Pain
GAP43,Target,Pain,Target-Pain
TRAF6,Target,Pain,Target-Pain
FLT3LG,Target,Pain,Target-Pain
SLC22A17,Target,Pain,Target-Pain
THBS4,Target,Pain,Target-Pain
BLOC1S5,Target,Pain,Target-Pain
IGHM,Target,Pain,Target-Pain
LETM1,Target,Pain,Target-Pain
GGTLC3,Target,Pain,Target-Pain
RAC1,Target,Pain,Target-Pain
TET1,Target,Pain,Target-Pain
HIF1A,Target,Pain,Target-Pain
CYP2D6,Target,Pain,Target-Pain
WNK2,Target,Pain,Target-Pain
KCNA2,Target,Pain,Target-Pain
TNFRSF1B,Target,Pain,Target-Pain
ATF3,Target,Pain,Target-Pain
DNMT1,Target,Pain,Target-Pain
BRD2,Target,Pain,Target-Pain
NPEPPS,Target,Pain,Target-Pain
PLAG1,Target,Pain,Target-Pain
TET3,Target,Pain,Target-Pain
MARCO,Target,Pain,Target-Pain
CD160,Target,Pain,Target-Pain
FOLH1,Target,Pain,Target-Pain
NOX1,Target,Pain,Target-Pain
SLC1A3,Target,Pain,Target-Pain
SNCB,Target,Pain,Target-Pain
SLC6A1,Target,Pain,Target-Pain
FAP,Target,Pain,Target-Pain
KDM1A,Target,Pain,Target-Pain
ACSL4,Target,Pain,Target-Pain
SNCG,Target,Pain,Target-Pain
PSAT1,Target,Pain,Target-Pain
FGFR1,Target,Pain,Target-Pain
ANXA10,Target,Pain,Target-Pain
FMR1,Target,Pain,Target-Pain
NPS,Target,Pain,Target-Pain
NQO1,Target,Pain,Target-Pain
ZGLP1,Target,Pain,Target-Pain
ACAN,Target,Pain,Target-Pain
KDR,Target,Pain,Target-Pain
SLC7A5,Target,Pain,Target-Pain
GAD1,Target,Pain,Target-Pain
GPBAR1,Target,Pain,Target-Pain
ACTB,Target,Pain,Target-Pain
SARDH,Target,Pain,Target-Pain
H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12,Target,Pain,Target-Pain
OXER1,Target,Pain,Target-Pain
FZD4,Target,Pain,Target-Pain
MT3,Target,Pain,Target-Pain
EP300,Target,Pain,Target-Pain
MRGPRX4,Target,Pain,Target-Pain
NMUR1,Target,Pain,Target-Pain
NGFR,Target,Pain,Target-Pain
FOSB,Target,Pain,Target-Pain
GALR1,Target,Pain,Target-Pain
DDX11,Target,Pain,Target-Pain
CHL1,Target,Pain,Target-Pain
GLUD1,Target,Pain,Target-Pain
SDHB,Target,Pain,Target-Pain
SDS,Target,Pain,Target-Pain
FASLG,Target,Pain,Target-Pain
EDA,Target,Pain,Target-Pain
P2RY14,Target,Pain,Target-Pain
PPIB,Target,Pain,Target-Pain
MRGPRX1,Target,Pain,Target-Pain
MT2A,Target,Pain,Target-Pain
TMPRSS6,Target,Pain,Target-Pain
TRPC6,Target,Pain,Target-Pain
IL21,Target,Pain,Target-Pain
GPRC6A,Target,Pain,Target-Pain
HPGDS,Target,Pain,Target-Pain
MRGPRX3,Target,Pain,Target-Pain
PLPP1,Target,Pain,Target-Pain
PTHLH,Target,Pain,Target-Pain
VANGL2,Target,Pain,Target-Pain
EIF4E,Target,Pain,Target-Pain
KEAP1,Target,Pain,Target-Pain
SORD,Target,Pain,Target-Pain
AASS,Target,Pain,Target-Pain
LGR6,Target,Pain,Target-Pain
ZNF609,Target,Pain,Target-Pain
HINT1,Target,Pain,Target-Pain
ACE,Target,Pain,Target-Pain
ITGB3,Target,Pain,Target-Pain
ANXA2,Target,Pain,Target-Pain
TP53,Target,Pain,Target-Pain
SLC30A1,Target,Pain,Target-Pain
MAG,Target,Pain,Target-Pain
CFL1,Target,Pain,Target-Pain
CXCL14,Target,Pain,Target-Pain
COL11A2,Target,Pain,Target-Pain
GTF2H2,Target,Pain,Target-Pain
TTR,Target,Pain,Target-Pain
NOB1,Target,Pain,Target-Pain
ART4,Target,Pain,Target-Pain
ASAH1,Target,Pain,Target-Pain
PSMC6,Target,Pain,Target-Pain
IL15,Target,Pain,Target-Pain
ASRGL1,Target,Pain,Target-Pain
FABP6,Target,Pain,Target-Pain
VIM,Target,Pain,Target-Pain
PON1,Target,Pain,Target-Pain
WNT16,Target,Pain,Target-Pain
PLA2G2A,Target,Pain,Target-Pain
CLCF1,Target,Pain,Target-Pain
ALPP,Target,Pain,Target-Pain
CACNA1A,Target,Pain,Target-Pain
FSTL1,Target,Pain,Target-Pain
MT-RNR1,Target,Pain,Target-Pain
CIROP,Target,Pain,Target-Pain
BLTP3B,Target,Pain,Target-Pain
POTEB3,Target,Pain,Target-Pain
CLRN2,Target,Pain,Target-Pain
ARHGAP10,Target,Pain,Target-Pain
FAM170A,Target,Pain,Target-Pain
SYCE3,Target,Pain,Target-Pain
ELOVL7,Target,Pain,Target-Pain
SH3PXD2B,Target,Pain,Target-Pain
FRMD3,Target,Pain,Target-Pain
TMEM218,Target,Pain,Target-Pain
CCDC66,Target,Pain,Target-Pain
TYW5,Target,Pain,Target-Pain
EME2,Target,Pain,Target-Pain
ODAD3,Target,Pain,Target-Pain
PEDS1,Target,Pain,Target-Pain
MEGF11,Target,Pain,Target-Pain
BDP1,Target,Pain,Target-Pain
NKX2-6,Target,Pain,Target-Pain
SDHAF1,Target,Pain,Target-Pain
PCARE,Target,Pain,Target-Pain
MYMK,Target,Pain,Target-Pain
PCNX2,Target,Pain,Target-Pain
IL3RA,Target,Pain,Target-Pain
EPB42,Target,Pain,Target-Pain
ITGAL,Target,Pain,Target-Pain
NPPB,Target,Pain,Target-Pain
OCLN,Target,Pain,Target-Pain
MGAT1,Target,Pain,Target-Pain
BMP7,Target,Pain,Target-Pain
CD74,Target,Pain,Target-Pain
PDLIM3,Target,Pain,Target-Pain
FOXO1,Target,Pain,Target-Pain
KIF3A,Target,Pain,Target-Pain
ANG,Target,Pain,Target-Pain
TNFSF18,Target,Pain,Target-Pain
SLC17A8,Target,Pain,Target-Pain
SLC34A1,Target,Pain,Target-Pain
NR0B1,Target,Pain,Target-Pain
IGKV2D-26,Target,Pain,Target-Pain
ATRNL1,Target,Pain,Target-Pain
TNFAIP6,Target,Pain,Target-Pain
FKBP4,Target,Pain,Target-Pain
HDAC3,Target,Pain,Target-Pain
ASIC3,Target,Pain,Target-Pain
DCLK3,Target,Pain,Target-Pain
P2RY6,Target,Pain,Target-Pain
IFI44,Target,Pain,Target-Pain
BRD4,Target,Pain,Target-Pain
RHAG,Target,Pain,Target-Pain
MEF2C,Target,Pain,Target-Pain
FBXO3,Target,Pain,Target-Pain
WDR77,Target,Pain,Target-Pain
ERVW-1,Target,Pain,Target-Pain
MKNK1,Target,Pain,Target-Pain
CBLIF,Target,Pain,Target-Pain
MT-RNR2,Target,Pain,Target-Pain
FBXL2,Target,Pain,Target-Pain
EPB41,Target,Pain,Target-Pain
A2M,Target,Pain,Target-Pain
PTRH1,Target,Pain,Target-Pain
HCAR2,Target,Pain,Target-Pain
HAMP,Target,Pain,Target-Pain
SMCP,Target,Pain,Target-Pain
MRC1,Target,Pain,Target-Pain
MYC,Target,Pain,Target-Pain
SETD7,Target,Pain,Target-Pain
ITGA2B,Target,Pain,Target-Pain
COLQ,Target,Pain,Target-Pain
SCN2B,Target,Pain,Target-Pain
CHGA,Target,Pain,Target-Pain
OSM,Target,Pain,Target-Pain
TYROBP,Target,Pain,Target-Pain
TFEB,Target,Pain,Target-Pain
PGPEP1,Target,Pain,Target-Pain
CCL27,Target,Pain,Target-Pain
CA5B,Target,Pain,Target-Pain
CA5BP1,Target,Pain,Target-Pain
PSMB3,Target,Pain,Target-Pain
FLT3,Target,Pain,Target-Pain
CNTF,Target,Pain,Target-Pain
CDK8,Target,Pain,Target-Pain
UGGT1,Target,Pain,Target-Pain
HMOX2,Target,Pain,Target-Pain
SLC17A6,Target,Pain,Target-Pain
CDK20,Target,Pain,Target-Pain
KDM4A,Target,Pain,Target-Pain
ACE2,Target,Pain,Target-Pain
KIF5B,Target,Pain,Target-Pain
RYR2,Target,Pain,Target-Pain
HSPB1,Target,Pain,Target-Pain
PARP1,Target,Pain,Target-Pain
DUSP6,Target,Pain,Target-Pain
FKBP5,Target,Pain,Target-Pain
NWD1,Target,Pain,Target-Pain
RLN3,Target,Pain,Target-Pain
CCL21,Target,Pain,Target-Pain
CCNE1,Target,Pain,Target-Pain
SYP,Target,Pain,Target-Pain
AVP,Target,Pain,Target-Pain
P2RX2,Target,Pain,Target-Pain
IRF5,Target,Pain,Target-Pain
P2RX1,Target,Pain,Target-Pain
P2RX5,Target,Pain,Target-Pain
CCR8,Target,Pain,Target-Pain
P2RY2,Target,Pain,Target-Pain
P2RY1,Target,Pain,Target-Pain
CCL11,Target,Pain,Target-Pain
P2RX6,Target,Pain,Target-Pain
PITX2,Target,Pain,Target-Pain
RIPK3,Target,Pain,Target-Pain
CBLL2,Target,Pain,Target-Pain
RAPGEF3,Target,Pain,Target-Pain
C4A,Target,Pain,Target-Pain
CACNA1E,Target,Pain,Target-Pain
ARRB2,Target,Pain,Target-Pain
ITPR3,Target,Pain,Target-Pain
PSIP1,Target,Pain,Target-Pain
IL2RB,Target,Pain,Target-Pain
PRKN,Target,Pain,Target-Pain
CAV3,Target,Pain,Target-Pain
HCLS1,Target,Pain,Target-Pain
TCF7L1,Target,Pain,Target-Pain
TCF3,Target,Pain,Target-Pain
ITPR1,Target,Pain,Target-Pain
DOK3,Target,Pain,Target-Pain
SIGLEC7,Target,Pain,Target-Pain
RET,Target,Pain,Target-Pain
IL2RA,Target,Pain,Target-Pain
FLT1,Target,Pain,Target-Pain
PSMB6,Target,Pain,Target-Pain
CCR3,Target,Pain,Target-Pain
GPR132,Target,Pain,Target-Pain
MUL1,Target,Pain,Target-Pain
CCKBR,Target,Pain,Target-Pain
IRF7,Target,Pain,Target-Pain
KHSRP,Target,Pain,Target-Pain
KCNQ3,Target,Pain,Target-Pain
CYP11A1,Target,Pain,Target-Pain
GGCX,Target,Pain,Target-Pain
GC,Target,Pain,Target-Pain
GBA1,Target,Pain,Target-Pain
MUC5AC,Target,Pain,Target-Pain
THBS1,Target,Pain,Target-Pain
NBN,Target,Pain,Target-Pain
GPR171,Target,Pain,Target-Pain
MARK2,Target,Pain,Target-Pain
PNMT,Target,Pain,Target-Pain
PEMT,Target,Pain,Target-Pain
KLF2,Target,Pain,Target-Pain
CTBP2,Target,Pain,Target-Pain
TRPC3,Target,Pain,Target-Pain
COL2A1,Target,Pain,Target-Pain
SARS2,Target,Pain,Target-Pain
TFE3,Target,Pain,Target-Pain
CRISP2,Target,Pain,Target-Pain
SETD2,Target,Pain,Target-Pain
GPR160,Target,Pain,Target-Pain
TLR1,Target,Pain,Target-Pain
TREM2,Target,Pain,Target-Pain
CLEC4F,Target,Pain,Target-Pain
SCN1B,Target,Pain,Target-Pain
TSC1,Target,Pain,Target-Pain
GPR3,Target,Pain,Target-Pain
ATN1,Target,Pain,Target-Pain
ADK,Target,Pain,Target-Pain
SETMAR,Target,Pain,Target-Pain
CYGB,Target,Pain,Target-Pain
SP1,Target,Pain,Target-Pain
DAND5,Target,Pain,Target-Pain
PLAT,Target,Pain,Target-Pain
MCTS1,Target,Pain,Target-Pain
RTL1,Target,Pain,Target-Pain
LTA,Target,Pain,Target-Pain
HGD,Target,Pain,Target-Pain
PTPN1,Target,Pain,Target-Pain
TJP1,Target,Pain,Target-Pain
CYP3A4,Target,Pain,Target-Pain
SLC16A7,Target,Pain,Target-Pain
ADCYAP1,Target,Pain,Target-Pain
RAB8A,Target,Pain,Target-Pain
SFPQ,Target,Pain,Target-Pain
CDKN1A,Target,Pain,Target-Pain
MAP2K7,Target,Pain,Target-Pain
SYN1,Target,Pain,Target-Pain
BMP6,Target,Pain,Target-Pain
SLC16A3,Target,Pain,Target-Pain
CLEC3B,Target,Pain,Target-Pain
SERPINC1,Target,Pain,Target-Pain
AGT,Target,Pain,Target-Pain
ACSL6,Target,Pain,Target-Pain
DNM1L,Target,Pain,Target-Pain
FGF3,Target,Pain,Target-Pain
CCDC54,Target,Pain,Target-Pain
MUC1,Target,Pain,Target-Pain
IL1RL2,Target,Pain,Target-Pain
SAA2,Target,Pain,Target-Pain
CXCL2,Target,Pain,Target-Pain
ITGA9,Target,Pain,Target-Pain
NR3C2,Target,Pain,Target-Pain
IL1RL1,Target,Pain,Target-Pain
RFC1,Target,Pain,Target-Pain
SLC19A1,Target,Pain,Target-Pain
MCF2L,Target,Pain,Target-Pain
MCAT,Target,Pain,Target-Pain
CLTC,Target,Pain,Target-Pain
PRSS55,Target,Pain,Target-Pain
LPA,Target,Pain,Target-Pain
ZHX2,Target,Pain,Target-Pain
ABAT,Target,Pain,Target-Pain
COL18A1,Target,Pain,Target-Pain
SAA1,Target,Pain,Target-Pain
GAST,Target,Pain,Target-Pain
TRPC5,Target,Pain,Target-Pain
PYCARD,Target,Pain,Target-Pain
MZB1,Target,Pain,Target-Pain
RFC2,Target,Pain,Target-Pain
GPR135,Target,Pain,Target-Pain
NAGLU,Target,Pain,Target-Pain
CINP,Target,Pain,Target-Pain
PLXND1,Target,Pain,Target-Pain
NSG1,Target,Pain,Target-Pain
SHANK1,Target,Pain,Target-Pain
MC4R,Target,Pain,Target-Pain
RPS25,Target,Pain,Target-Pain
SPA17,Target,Pain,Target-Pain
FERMT1,Target,Pain,Target-Pain
MMEL1,Target,Pain,Target-Pain
UQCRFS1,Target,Pain,Target-Pain
ALAS2,Target,Pain,Target-Pain
AOC2,Target,Pain,Target-Pain
CARD14,Target,Pain,Target-Pain
ADAMTS5,Target,Pain,Target-Pain
DRD1,Target,Pain,Target-Pain
SLC27A2,Target,Pain,Target-Pain
CLCN3,Target,Pain,Target-Pain
FN1,Target,Pain,Target-Pain
GDI1,Target,Pain,Target-Pain
SERPINA6,Target,Pain,Target-Pain
SLC6A5,Target,Pain,Target-Pain
DAGLB,Target,Pain,Target-Pain
FUT3,Target,Pain,Target-Pain
CBR1,Target,Pain,Target-Pain
PPP1CB,Target,Pain,Target-Pain
SLURP1,Target,Pain,Target-Pain
ITPR2,Target,Pain,Target-Pain
CMA1,Target,Pain,Target-Pain
MPRIP,Target,Pain,Target-Pain
CD59,Target,Pain,Target-Pain
F8,Target,Pain,Target-Pain
HLA-C,Target,Pain,Target-Pain
TNFSF9,Target,Pain,Target-Pain
LRP8,Target,Pain,Target-Pain
UROD,Target,Pain,Target-Pain
IGF1R,Target,Pain,Target-Pain
ASPSCR1,Target,Pain,Target-Pain
AQP2,Target,Pain,Target-Pain
SOAT1,Target,Pain,Target-Pain
TCEAL1,Target,Pain,Target-Pain
GPX4,Target,Pain,Target-Pain
APOL1,Target,Pain,Target-Pain
SPZ1,Target,Pain,Target-Pain
SCN4B,Target,Pain,Target-Pain
IGKV2D-30,Target,Pain,Target-Pain
ETFA,Target,Pain,Target-Pain
KRR1,Target,Pain,Target-Pain
CD55,Target,Pain,Target-Pain
HDAC2,Target,Pain,Target-Pain
LIN28A,Target,Pain,Target-Pain
CEACAM4,Target,Pain,Target-Pain
ATP6V0A1,Target,Pain,Target-Pain
CCL23,Target,Pain,Target-Pain
CHRNA5,Target,Pain,Target-Pain
MSMB,Target,Pain,Target-Pain
TICAM1,Target,Pain,Target-Pain
HRH3,Target,Pain,Target-Pain
CCR1,Target,Pain,Target-Pain
KCNC4,Target,Pain,Target-Pain
TSC2,Target,Pain,Target-Pain
IGF2,Target,Pain,Target-Pain
CHEK1,Target,Pain,Target-Pain
MYO5A,Target,Pain,Target-Pain
RFC4,Target,Pain,Target-Pain
APOM,Target,Pain,Target-Pain
PRKG2,Target,Pain,Target-Pain
ALOX5,Target,Pain,Target-Pain
ISG20,Target,Pain,Target-Pain
SLC5A5,Target,Pain,Target-Pain
DDOST,Target,Pain,Target-Pain
PLCB1,Target,Pain,Target-Pain
AOC1,Target,Pain,Target-Pain
DAO,Target,Pain,Target-Pain
XCR1,Target,Pain,Target-Pain
GGTA1,Target,Pain,Target-Pain
TMPRSS13,Target,Pain,Target-Pain
KCNN4,Target,Pain,Target-Pain
RAPGEF4,Target,Pain,Target-Pain
ATXN3,Target,Pain,Target-Pain
CAPN2,Target,Pain,Target-Pain
ANO6,Target,Pain,Target-Pain
SNHG12,Target,Pain,Target-Pain
TPH1,Target,Pain,Target-Pain
CRMP1,Target,Pain,Target-Pain
CYP27A1,Target,Pain,Target-Pain
PTAFR,Target,Pain,Target-Pain
KCNJ1,Target,Pain,Target-Pain
PRCC,Target,Pain,Target-Pain
SOX11,Target,Pain,Target-Pain
GADD45A,Target,Pain,Target-Pain
DBP,Target,Pain,Target-Pain
LAT,Target,Pain,Target-Pain
GHRL,Target,Pain,Target-Pain
DLL1,Target,Pain,Target-Pain
FMN1,Target,Pain,Target-Pain
LMLN,Target,Pain,Target-Pain
APRT,Target,Pain,Target-Pain
AOC3,Target,Pain,Target-Pain
IGFBP7,Target,Pain,Target-Pain
CORT,Target,Pain,Target-Pain
STS,Target,Pain,Target-Pain
GBA3,Target,Pain,Target-Pain
GSN,Target,Pain,Target-Pain
HPS4,Target,Pain,Target-Pain
MAS1,Target,Pain,Target-Pain
HES1,Target,Pain,Target-Pain
TLR7,Target,Pain,Target-Pain
SULT2A1,Target,Pain,Target-Pain
OXSM,Target,Pain,Target-Pain
SHH,Target,Pain,Target-Pain
TRAF3,Target,Pain,Target-Pain
IRF3,Target,Pain,Target-Pain
CLEC4E,Target,Pain,Target-Pain
YY1,Target,Pain,Target-Pain
NONO,Target,Pain,Target-Pain
SIRT2,Target,Pain,Target-Pain
AKR1B1,Target,Pain,Target-Pain
NAT8,Target,Pain,Target-Pain
GLA,Target,Pain,Target-Pain
FGF7,Target,Pain,Target-Pain
FMO5,Target,Pain,Target-Pain
DAPK2,Target,Pain,Target-Pain
NOD2,Target,Pain,Target-Pain
CCL8,Target,Pain,Target-Pain
DBH,Target,Pain,Target-Pain
CRYGC,Target,Pain,Target-Pain
TIMP1,Target,Pain,Target-Pain
TNFAIP3,Target,Pain,Target-Pain
XDH,Target,Pain,Target-Pain
ATP6AP2,Target,Pain,Target-Pain
