Compound,Protein,Neighborhood_1,Tag
Cell_growth,VIL1,Target,Target-Cell_growth
Cell_growth,EHD1,Target,Target-Cell_growth
Cell_growth,RAB35,Target,Target-Cell_growth
Cell_growth,ACAP2,Target,Target-Cell_growth
Cell_growth,CDK16,Target,Target-Cell_growth
Cell_growth,CDK12,Target,Target-Cell_growth
Cell_growth,CDK9,Target,Target-Cell_growth
Cell_growth,ELMO1,Target,Target-Cell_growth
Cell_growth,CDK8,Target,Target-Cell_growth
Cell_growth,CDK13,Target,Target-Cell_growth
Cell_growth,CDK2,Target,Target-Cell_growth
Cell_growth,BTG4,Target,Target-Cell_growth
Cell_growth,CIDEA,Target,Target-Cell_growth
Cell_growth,CIDEB,Target,Target-Cell_growth
Cell_growth,CDK4,Target,Target-Cell_growth
Cell_growth,CIDEC,Target,Target-Cell_growth
Cell_growth,BST2,Target,Target-Cell_growth
Cell_growth,PRICKLE1,Target,Target-Cell_growth
Cell_growth,BAD,Target,Target-Cell_growth
Cell_growth,RIPOR2,Target,Target-Cell_growth
Cell_growth,BRK1,Target,Target-Cell_growth
Cell_growth,DAD1,Target,Target-Cell_growth
Cell_growth,CEMIP,Target,Target-Cell_growth
Cell_growth,CDC20,Target,Target-Cell_growth
Cell_growth,CRTAM,Target,Target-Cell_growth
Cell_growth,BCAS3,Target,Target-Cell_growth
Cell_growth,CCAR2,Target,Target-Cell_growth
Cell_growth,PBX1,Target,Target-Cell_growth
Cell_growth,RIPOR1,Target,Target-Cell_growth
Cell_growth,UTF1,Target,Target-Cell_growth
Cell_growth,PBX2,Target,Target-Cell_growth
Cell_growth,NICOL1,Target,Target-Cell_growth
Cell_growth,CDC20B,Target,Target-Cell_growth
Cell_growth,PBX4,Target,Target-Cell_growth
Cell_growth,PRICKLE3,Target,Target-Cell_growth
Cell_growth,CD8B,Target,Target-Cell_growth
Cell_growth,CD3D,Target,Target-Cell_growth
Cell_growth,PDCD6IP,Target,Target-Cell_growth
Cell_growth,BCL3,Target,Target-Cell_growth
Cell_growth,HEPACAM,Target,Target-Cell_growth
Cell_growth,CDC37,Target,Target-Cell_growth
Cell_growth,SMAD1,Target,Target-Cell_growth
Cell_growth,SMAD5,Target,Target-Cell_growth
Cell_growth,MEGF8,Target,Target-Cell_growth
Cell_growth,CTNNB1,Target,Target-Cell_growth
Cell_growth,RTN4RL1,Target,Target-Cell_growth
Cell_growth,SRPX2,Target,Target-Cell_growth
Cell_growth,CDHR5,Target,Target-Cell_growth
Cell_growth,NINJ1,Target,Target-Cell_growth
Cell_growth,PITPNM2,Target,Target-Cell_growth
Cell_growth,MYO1B,Target,Target-Cell_growth
Cell_growth,ACTN1,Target,Target-Cell_growth
Cell_growth,MAG,Target,Target-Cell_growth
Cell_growth,PITPNM3,Target,Target-Cell_growth
Cell_growth,RTN2,Target,Target-Cell_growth
Cell_growth,AVIL,Target,Target-Cell_growth
Cell_growth,NID2,Target,Target-Cell_growth
Cell_growth,GRM7,Target,Target-Cell_growth
Cell_growth,SLC1A1,Target,Target-Cell_growth
Cell_growth,MAPK8IP3,Target,Target-Cell_growth
Cell_growth,SYNDIG1,Target,Target-Cell_growth
Cell_growth,RTN4RL2,Target,Target-Cell_growth
Cell_growth,AQP11,Target,Target-Cell_growth
Cell_growth,PTK2B,Target,Target-Cell_growth
Cell_growth,ACVR1C,Target,Target-Cell_growth
Cell_growth,ENPP5,Target,Target-Cell_growth
Cell_growth,SHROOM2,Target,Target-Cell_growth
Cell_growth,TMEM18,Target,Target-Cell_growth
Cell_growth,RNF157,Target,Target-Cell_growth
Cell_growth,TSPEAR,Target,Target-Cell_growth
Cell_growth,PROS1,Target,Target-Cell_growth
