Compound,Protein,Neighborhood_1,Tag
Sleep,PPP1CC,1Neigh,1Neigh-Sleep
Sleep,ABCA2,1Neigh,1Neigh-Sleep
Sleep,DMPK,1Neigh,1Neigh-Sleep
Sleep,ABCD4,1Neigh,1Neigh-Sleep
Sleep,ATP2A1,1Neigh,1Neigh-Sleep
Sleep,ATP2B4,1Neigh,1Neigh-Sleep
Sleep,ATP2A3,1Neigh,1Neigh-Sleep
Sleep,ATP1A2,1Neigh,1Neigh-Sleep
Sleep,RYR2,1Neigh,1Neigh-Sleep
Sleep,ATP1B1,1Neigh,1Neigh-Sleep
Sleep,ATP1A4,1Neigh,1Neigh-Sleep
Sleep,PRKACB,1Neigh,1Neigh-Sleep
Sleep,PRKG1,1Neigh,1Neigh-Sleep
Sleep,PRKACG,1Neigh,1Neigh-Sleep
Sleep,ABCG5,1Neigh,1Neigh-Sleep
Sleep,SLN,1Neigh,1Neigh-Sleep
Sleep,ATP2A2,1Neigh,1Neigh-Sleep
Sleep,ATP1A3,1Neigh,1Neigh-Sleep
Sleep,ATP1A1,1Neigh,1Neigh-Sleep
Sleep,CRY1,1Neigh,1Neigh-Sleep
Sleep,BHLHE41,1Neigh,1Neigh-Sleep
Sleep,PER2,1Neigh,1Neigh-Sleep
Sleep,RORA,1Neigh,1Neigh-Sleep
Sleep,NCOR1,1Neigh,1Neigh-Sleep
Sleep,HDAC3,1Neigh,1Neigh-Sleep
Sleep,PER1,1Neigh,1Neigh-Sleep
Sleep,NPAS2,1Neigh,1Neigh-Sleep
Sleep,CSNK1E,1Neigh,1Neigh-Sleep
Sleep,ARNTL,1Neigh,1Neigh-Sleep
Sleep,CLOCK,1Neigh,1Neigh-Sleep
Sleep,CRY2,1Neigh,1Neigh-Sleep
Sleep,KCNA5,1Neigh,1Neigh-Sleep
Sleep,KCNA6,1Neigh,1Neigh-Sleep
Sleep,KCNMA1,1Neigh,1Neigh-Sleep
Sleep,KCNA4,1Neigh,1Neigh-Sleep
Sleep,CNTN2,1Neigh,1Neigh-Sleep
Sleep,KCNA3,1Neigh,1Neigh-Sleep
Sleep,KCNB1,1Neigh,1Neigh-Sleep
Sleep,KCNAB2,1Neigh,1Neigh-Sleep
Sleep,KCNA1,1Neigh,1Neigh-Sleep
Sleep,KCNS3,1Neigh,1Neigh-Sleep
Sleep,FAU,1Neigh,1Neigh-Sleep
Sleep,AGO2,1Neigh,1Neigh-Sleep
Sleep,NUFIP2,1Neigh,1Neigh-Sleep
Sleep,FXR2,1Neigh,1Neigh-Sleep
Sleep,EIF4A1,1Neigh,1Neigh-Sleep
Sleep,SF3B3,1Neigh,1Neigh-Sleep
Sleep,PABPC1,1Neigh,1Neigh-Sleep
Sleep,EIF4A2,1Neigh,1Neigh-Sleep
Sleep,PKP3,1Neigh,1Neigh-Sleep
Sleep,CAPRIN1,1Neigh,1Neigh-Sleep
Sleep,G3BP2,1Neigh,1Neigh-Sleep
Sleep,QKI,1Neigh,1Neigh-Sleep
Sleep,FMR1,1Neigh,1Neigh-Sleep
Sleep,YBX1,1Neigh,1Neigh-Sleep
Sleep,AGO1,1Neigh,1Neigh-Sleep
Sleep,G3BP1,1Neigh,1Neigh-Sleep
Sleep,EIF4G1,1Neigh,1Neigh-Sleep
Sleep,EIF4E,1Neigh,1Neigh-Sleep
Sleep,DICER1,1Neigh,1Neigh-Sleep
Sleep,ATXN2,1Neigh,1Neigh-Sleep
Sleep,CYFIP2,1Neigh,1Neigh-Sleep
Sleep,TSC2,1Neigh,1Neigh-Sleep
Sleep,MLH1,1Neigh,1Neigh-Sleep
Sleep,RRAS,1Neigh,1Neigh-Sleep
Sleep,YWHAH,1Neigh,1Neigh-Sleep
Sleep,RRAS2,1Neigh,1Neigh-Sleep
Sleep,PDGFRA,1Neigh,1Neigh-Sleep
Sleep,PIK3CA,1Neigh,1Neigh-Sleep
Sleep,PMS2,1Neigh,1Neigh-Sleep
Sleep,RASA1,1Neigh,1Neigh-Sleep
Sleep,KIT,1Neigh,1Neigh-Sleep
Sleep,SPRED1,1Neigh,1Neigh-Sleep
Sleep,H3-5,1Neigh,1Neigh-Sleep
Sleep,ATRX,1Neigh,1Neigh-Sleep
Sleep,SDHB,1Neigh,1Neigh-Sleep
Sleep,SOS1,1Neigh,1Neigh-Sleep
Sleep,RAF1,1Neigh,1Neigh-Sleep
Sleep,NRXN2,1Neigh,1Neigh-Sleep
Sleep,SHANK1,1Neigh,1Neigh-Sleep
Sleep,NLGN2,1Neigh,1Neigh-Sleep
Sleep,DLGAP1,1Neigh,1Neigh-Sleep
Sleep,SHANK2,1Neigh,1Neigh-Sleep
Sleep,NLGN3,1Neigh,1Neigh-Sleep
Sleep,DLGAP3,1Neigh,1Neigh-Sleep
Sleep,DLG3,1Neigh,1Neigh-Sleep
Sleep,NRXN1,1Neigh,1Neigh-Sleep
Sleep,GRIN2B,1Neigh,1Neigh-Sleep
Sleep,SHANK3,1Neigh,1Neigh-Sleep
