Prot_A;Prot_B;Renew component
ATP5MC3;ATP5MC1;Magnesium
ATP5MC3;ATP5F1C;Magnesium
ATP5MC3;ATP5PB;Magnesium
ATP5PO;ATP6V0B;Magnesium
ATP5PO;ATP6V0C;Magnesium
ATP5PO;ATP5MC2;Magnesium
ATP5PO;ATP5MC1;Magnesium
ATP5PO;ATP5PF;Magnesium
ATP5PO;ATP5F1A;Magnesium
ATP5PO;MT-ATP6;Magnesium
ATP5PO;ATP5PD;Magnesium
ATP5PO;ATP5PB;Magnesium
ATP5PO;ATP5MG;Magnesium
ATP5PO;ATP5F1C;Magnesium
ATP5MG;ATP5MC2;Magnesium
ATP5MG;ATP5MC1;Magnesium
ATP5MG;MT-ATP6;Magnesium
ATP5MG;ATP5F1C;Magnesium
ATP5MG;ATP5PB;Magnesium
ATP5MG;ATP5PD;Magnesium
ATP5MG;ATP5F1A;Magnesium
ATP5MG;ATP5PF;Magnesium
ATP5PD;ATP5MC2;Magnesium
ATP5PD;ATP5PB;Magnesium
ATP5PD;ATP5F1C;Magnesium
ATP5PD;ATP5PF;Magnesium
ATP5PD;ATP5MC1;Magnesium
ATP5PD;ATP5F1A;Magnesium
ATP5PD;MT-ATP6;Magnesium
ATP6V1E2;ATP6AP1;Magnesium
ATP6V1E2;ATP6V1C1;Magnesium
ATP6V1E2;ATP6V0C;Magnesium
ATP6V1E2;ATP6V0A4;Magnesium
ATP6V1E2;ATP6V0B;Magnesium
ATP6V0A4;MT-ATP6;Magnesium
ATP6V0A4;ATP6V0A2;Magnesium
ATP6V0A4;ATP6V1C1;Magnesium
ATP6V0A4;ATP6AP1;Magnesium
ATP6V0A4;ATP6V0C;Magnesium
ATP6V0A4;ATP6V0B;Magnesium
ATP6V0C;ATP5PF;Magnesium
ATP6V0C;ATP5F1C;Magnesium
ATP6V0C;ATP5F1A;Magnesium
ATP6V0C;MT-ATP6;Magnesium
ATP6V0C;ATP6AP1;Magnesium
ATP6V0C;ATP6V1C1;Magnesium
ATP6V0C;ATP6V0B;Magnesium
ATP6V0C;ATP6V0A2;Magnesium
ATP6V0A2;MT-ATP6;Magnesium
ATP6V0A2;ATP6V1C1;Magnesium
ATP6V0A2;ATP6V0B;Magnesium
ATP6V0A2;ATP6AP1;Magnesium
ATP4B;PPA2;Magnesium
ATP4B;LHPP;Magnesium
ATP4B;PPA1;Magnesium
PPA2;APRT;Magnesium
PPA2;PPA1;Magnesium
PPA2;LHPP;Magnesium
ATP5F1C;ATP5MC2;Magnesium
ATP5F1C;ATP5PB;Magnesium
ATP5F1C;ATP5F1A;Magnesium
ATP5F1C;MT-ATP6;Magnesium
ATP5F1C;ATP5PF;Magnesium
ATP5F1C;ATP5MC1;Magnesium
MT-ATP6;ATP6V0B;Magnesium
MT-ATP6;ATP5PF;Magnesium
MT-ATP6;ATP5MC2;Magnesium
MT-ATP6;ATP5PB;Magnesium
MT-ATP6;ATP5F1A;Magnesium
MT-ATP6;ATP5MC1;Magnesium
LHPP;PPA1;Magnesium
ATP5PB;ATP5MC2;Magnesium
ATP5PB;ATP5F1A;Magnesium
ATP5PB;ATP5PF;Magnesium
ATP5PB;ATP5MC1;Magnesium
ATP6AP1;ATP6V1C1;Magnesium
ATP6AP1;ATP6V0B;Magnesium
PPA1;APRT;Magnesium
ATP5MC1;ATP5MC2;Magnesium
ATP5MC1;ATP5PF;Magnesium
ATP5MC1;ATP5F1A;Magnesium
ATP5F1A;ATP5MC2;Magnesium
ATP5F1A;ATP5PF;Magnesium
ATP5PF;ATP5MC2;Magnesium
ATP6V1C1;ATP6V0B;Magnesium
TPSD1;TPSB2;Magnesium
TPSD1;TPSAB1;Magnesium
TPSAB1;TPSB2;Magnesium
TPSAB1;IGHV3-43D;Magnesium
DNAL4;FHL5;Magnesium
ATP2A1;SLN;Magnesium
CSF3;GH2;Magnesium
CSF3;CSH2;Magnesium
CSF3;CSH1;Magnesium
CSF3;GH1;Magnesium
CSF3;PRL;Magnesium
CSF3;CNTF;Magnesium
CSF3;LEP;Magnesium
CSF3;THPO;Magnesium
CSF3;EPO;Magnesium
GHSR;GHRL;Magnesium
EPO;CNTF;Magnesium
EPO;LEP;Magnesium
EPO;PRL;Magnesium
EPO;GH2;Magnesium
EPO;CSH1;Magnesium
EPO;CSH2;Magnesium
EPO;GH1;Magnesium
EPO;THPO;Magnesium
ALB;ENSP00000497443;Magnesium
ALB;GH1;Magnesium
ALB;B2M;Magnesium
ALB;FCGRT;Magnesium
PRL;CNTF;Magnesium
PRL;THPO;Magnesium
PRL;GH1;Magnesium
PRL;CSH2;Magnesium
PRL;CSH1;Magnesium
PRL;LEP;Magnesium
PRL;GH2;Magnesium
PRL;PRLR;Magnesium
LEP;GH2;Magnesium
LEP;THPO;Magnesium
LEP;GH1;Magnesium
LEP;CSH2;Magnesium
LEP;CSH1;Magnesium
LEP;CNTF;Magnesium
LEP;GCG;Magnesium
LEP;GHRL;Magnesium
LEP;LEPR;Magnesium
GH1;ENSP00000497443;Magnesium
GH1;FCGRT;Magnesium
GH1;B2M;Magnesium
GH1;CNTF;Magnesium
GH1;THPO;Magnesium
GH1;GH2;Magnesium
GH1;GHRL;Magnesium
GH1;CSH2;Magnesium
GH1;CSH1;Magnesium
GH1;PRLR;Magnesium
GH1;GHR;Magnesium
CSH1;CNTF;Magnesium
CSH1;THPO;Magnesium
CSH1;GH2;Magnesium
CSH1;GHR;Magnesium
CSH1;CSH2;Magnesium
GHRHR;GHRH;Magnesium
LEPR;JAK2;Magnesium
GH2;CNTF;Magnesium
GH2;THPO;Magnesium
GH2;CSH2;Magnesium
GH2;GHR;Magnesium
GHRL;IGF1;Magnesium
CNTF;CSH2;Magnesium
CNTF;THPO;Magnesium
IGFBP3;IGF1;Magnesium
JAK2;PRLR;Magnesium
JAK2;GHR;Magnesium
CSH2;THPO;Magnesium
CSH2;GHR;Magnesium
FCGRT;ENSP00000497443;Magnesium
FCGRT;B2M;Magnesium
PRLR;ENSP00000497443;Magnesium
GHR;ENSP00000497443;Magnesium
ENSP00000497443;B2M;Magnesium
MACROD1;PARP1;Magnesium
PARP1;HPF1;Magnesium
HPS5;HPS6;Magnesium
HPS5;HPS3;Magnesium
HPS3;HPS6;Magnesium
POMC;MC1R;Magnesium
MC1R;ASIP;Magnesium
PPP1R15A;PPP1R15B;Magnesium
PPP1R15A;ACTA1;Magnesium
PPP1R15A;PPP1CA;Magnesium
PPP1R15A;EIF2S1;Magnesium
VCL;ACTA1;Magnesium
VCL;PFN3;Magnesium
VCL;PFN4;Magnesium
VCL;PFN1;Magnesium
VCL;WASL;Magnesium
VCL;CTNNA1;Magnesium
WASL;ACTA1;Magnesium
WASL;ARPC5;Magnesium
WASL;ARPC4;Magnesium
WASL;GSN;Magnesium
WASL;ARPC2;Magnesium
WASL;ARPC3;Magnesium
WASL;ARPC1B;Magnesium
WASL;ACTR3;Magnesium
WASL;ACTR2;Magnesium
WASL;WIPF1;Magnesium
ACTA2;SETD3;Magnesium
ACTA2;ACTA1;Magnesium
ACTA2;ACTC1;Magnesium
ACTA2;GC;Magnesium
PFN1;NAA80;Magnesium
PFN1;ACTA1;Magnesium
ARPC3;ACTA1;Magnesium
ARPC3;WASF2;Magnesium
ARPC3;ACTG1;Magnesium
ARPC3;ACTB;Magnesium
ARPC3;WAS;Magnesium
ARPC3;ARPC2;Magnesium
ARPC3;ACTR3;Magnesium
ARPC3;ARPC1B;Magnesium
ARPC3;ARPC4;Magnesium
ARPC3;ARPC5;Magnesium
ARPC3;ACTR2;Magnesium
TNNC1;TNNI1;Magnesium
VASP;WAS;Magnesium
VASP;ACTA1;Magnesium
ACTR10;CAPZB;Magnesium
ACTR10;ACTB;Magnesium
ACTR10;CAPZA1;Magnesium
ACTR10;DCTN2;Magnesium
EIF2S1;ACTA1;Magnesium
EIF2S1;PPP1CC;Magnesium
EIF2S1;PPP1CA;Magnesium
TMOD1;ACTA1;Magnesium
CAPZA1;ACTA1;Magnesium
CAPZA1;ACTB;Magnesium
CAPZA1;TWF1;Magnesium
CAPZA1;DCTN2;Magnesium
CAPZA1;CAPZB;Magnesium
ACTR3;ACTA1;Magnesium
ACTR3;ACTG1;Magnesium
ACTR3;WASF2;Magnesium
ACTR3;ACTB;Magnesium
ACTR3;WAS;Magnesium
ACTR3;ARPC2;Magnesium
ACTR3;ARPC1B;Magnesium
ACTR3;ARPC4;Magnesium
ACTR3;ARPC5;Magnesium
ACTR3;ACTR2;Magnesium
ACTC1;SETD3;Magnesium
ACTC1;ACTG2;Magnesium
ACTC1;GC;Magnesium
ARPC5;ACTA1;Magnesium
ARPC5;WASF2;Magnesium
ARPC5;ACTB;Magnesium
ARPC5;ACTG1;Magnesium
ARPC5;WAS;Magnesium
ARPC5;ARPC1B;Magnesium
ARPC5;ARPC2;Magnesium
ARPC5;ACTR2;Magnesium
ARPC5;ARPC4;Magnesium
ARPC2;ACTA1;Magnesium
ARPC2;WASF2;Magnesium
ARPC2;WAS;Magnesium
ARPC2;ACTR2;Magnesium
ARPC2;ARPC4;Magnesium
ARPC2;ARPC1B;Magnesium
CFL2;ACTA1;Magnesium
CFL2;CFL1;Magnesium
CFL2;ACTB;Magnesium
CFL2;ACTG1;Magnesium
CTNNA1;ACTA1;Magnesium
CTNNA1;ACTG1;Magnesium
CTNNA1;ACTB;Magnesium
MTSS1;ACTA1;Magnesium
PPP1CA;ACTA1;Magnesium
FLNC;FLNA;Magnesium
SETD3;ACTG2;Magnesium
SETD3;ACTA1;Magnesium
SETD3;ACTG1;Magnesium
SETD3;ACTB;Magnesium
PHACTR1;ACTA1;Magnesium
FMNL3;ACTA1;Magnesium
PPP1CC;ACTA1;Magnesium
PPP1CC;PPP1R15B;Magnesium
ARHGAP12;ACTA1;Magnesium
NAA80;ACTA1;Magnesium
NAA80;ACTB;Magnesium
MYH7;TNNI1;Magnesium
PLS3;LCP1;Magnesium
PLS3;ACTA1;Magnesium
PFN3;ACTG1;Magnesium
PFN3;ACTB;Magnesium
MYOZ1;ACTN2;Magnesium
TNNI1;MYH3;Magnesium
TNNI1;MYH6;Magnesium
TNNI1;TNNC2;Magnesium
ACTN2;ACTN3;Magnesium
ACTA1;PPP1R15B;Magnesium
ACTA1;GC;Magnesium
ACTA1;ACTB;Magnesium
ACTA1;MYO10;Magnesium
ACTA1;COBL;Magnesium
ACTA1;MRTFB;Magnesium
ACTA1;MRTFA;Magnesium
ACTA1;WASF2;Magnesium
ACTA1;ACTG1;Magnesium
ACTA1;LMOD1;Magnesium
ACTA1;UTRN;Magnesium
ACTA1;WIPF1;Magnesium
ACTA1;ARPC4;Magnesium
ACTA1;TWF1;Magnesium
ACTA1;ARPC1B;Magnesium
ACTA1;CAPZB;Magnesium
ACTA1;FLNA;Magnesium
ACTA1;CAP1;Magnesium
ACTA1;ACTG2;Magnesium
ACTA1;WAS;Magnesium
ACTA1;LCP1;Magnesium
ACTA1;ACTR2;Magnesium
ACTA1;CFL1;Magnesium
ACTA1;GSN;Magnesium
CAP1;ACTB;Magnesium
CAP1;TWF1;Magnesium
CAP1;CFL1;Magnesium
WAS;ACTG1;Magnesium
WAS;ACTB;Magnesium
WAS;ARPC4;Magnesium
WAS;ARPC1B;Magnesium
WAS;ACTR2;Magnesium
WAS;WIPF1;Magnesium
ACTR2;ACTG1;Magnesium
ACTR2;ACTB;Magnesium
ACTR2;WASF2;Magnesium
ACTR2;ARPC1B;Magnesium
ACTR2;ARPC4;Magnesium
ARPC4;WASF2;Magnesium
ARPC4;ACTG1;Magnesium
ARPC4;ACTB;Magnesium
ARPC4;ARPC1B;Magnesium
ARPC1B;WASF2;Magnesium
ARPC1B;ACTB;Magnesium
ARPC1B;ACTG1;Magnesium
CAPZB;ACTB;Magnesium
CAPZB;TWF1;Magnesium
CAPZB;DCTN2;Magnesium
DCTN2;ACTB;Magnesium
ACTG1;WASF2;Magnesium
WASF2;ACTB;Magnesium
CPB2;F2;Magnesium
SERPIND1;F2;Magnesium
PROCR;PROC;Magnesium
PROCR;THBD;Magnesium
SERPINE1;PROC;Magnesium
SERPINE1;SERPINB2;Magnesium
GGCX;PROS1;Magnesium
PROC;PROS1;Magnesium
PROC;IGHV3-72;Magnesium
PROC;SERPINB2;Magnesium
PROC;A2M;Magnesium
PROC;SERPINA1;Magnesium
PROC;F2R;Magnesium
PROC;SERPINA5;Magnesium
PROC;SERPINF2;Magnesium
KLKB1;A2M;Magnesium
FGB;SERPINF2;Magnesium
FGB;FGA;Magnesium
FGB;FGG;Magnesium
FGB;F2;Magnesium
F2;F13B;Magnesium
F2;SERPINA5;Magnesium
F2;F2R;Magnesium
F2;FGA;Magnesium
F2;FGG;Magnesium
PGA5;PGA3;Magnesium
PGA5;PGA4;Magnesium
SERPINF2;FGG;Magnesium
SERPINF2;FGA;Magnesium
PGA3;PGA4;Magnesium
FGG;FGA;Magnesium
F8;PROS1;Magnesium
F5;PROS1;Magnesium
PROS1;FURIN;Magnesium
IGLL5;IGHV3-72;Magnesium
ERCC1;SWSAP1;Magnesium
ERCC1;MSH3;Magnesium
ERCC1;PRKDC;Magnesium
ERCC1;XRCC4;Magnesium
ERCC1;ERCC5;Magnesium
RFC2;PCNA;Magnesium
TRIP13;MAD2L2;Magnesium
CDC6;MCM8;Magnesium
CBX7;CDC26;Magnesium
CBX7;CDC23;Magnesium
CBX7;BARD1;Magnesium
CBX7;ANAPC4;Magnesium
CBX7;ANAPC13;Magnesium
CBX7;ANAPC11;Magnesium
CBX7;ANAPC7;Magnesium
CBX7;ANAPC10;Magnesium
CBX7;ANAPC1;Magnesium
CBX7;ANAPC15;Magnesium
CBX7;ANAPC5;Magnesium
CBX7;CDC16;Magnesium
CBX7;CDC27;Magnesium
CBX7;CUL7;Magnesium
CBX7;BABAM2;Magnesium
CBX7;UBE2S;Magnesium
CBX7;UBE2C;Magnesium
CBX7;RAD51;Magnesium
CBX7;ANAPC2;Magnesium
CBX7;BUB1B;Magnesium
CBX7;ANAPC16;Magnesium
CBX7;BRCC3;Magnesium
CBX7;BRCA2;Magnesium
CBX7;BRCA1;Magnesium
CBX7;BCOR;Magnesium
CBX7;H3-5;Magnesium
CBX7;H3-2;Magnesium
CBX7;H3-3B;Magnesium
CBX7;H3C13;Magnesium
CBX7;H3C12;Magnesium
CBX7;H3-4;Magnesium
CBX7;CBX2;Magnesium
CBX7;CBX4;Magnesium
CBX7;PCGF6;Magnesium
CBX7;PHC3;Magnesium
CBX7;PHC1;Magnesium
CBX7;CBX8;Magnesium
CBX7;PHC2;Magnesium
CBX7;PCGF2;Magnesium
CBX7;RING1;Magnesium
CBX7;RNF2;Magnesium
CBX7;BMI1;Magnesium
POLE2;MAD2L2;Magnesium
POLE2;POLD3;Magnesium
POLE2;REV3L;Magnesium
POLE2;TIPIN;Magnesium
POLE2;POLD2;Magnesium
POLE2;MCM2;Magnesium
POLE2;POLD1;Magnesium
POLE2;MCM6;Magnesium
POLE2;WDHD1;Magnesium
POLE2;POLA1;Magnesium
POLE2;MCM4;Magnesium
POLE2;MCM3;Magnesium
POLE2;CDC45;Magnesium
POLE2;POLE;Magnesium
RNASEH2A;POLE;Magnesium
RPA3;MCM3;Magnesium
RPA3;PCNA;Magnesium
RPA3;POLA1;Magnesium
RPA3;POLD3;Magnesium
RPA3;POLD2;Magnesium
RPA3;SMARCAL1;Magnesium
RPA3;RFWD3;Magnesium
RAD51AP1;PALB2;Magnesium
RAD51AP1;RAD51;Magnesium
FANCE;UBE2T;Magnesium
FANCE;FANCL;Magnesium
MLH1;MSH3;Magnesium
MLH1;PMS2;Magnesium
MSH2;SWSAP1;Magnesium
MSH2;XRCC4;Magnesium
MSH2;PRKDC;Magnesium
MSH2;ERCC5;Magnesium
MSH2;LIG4;Magnesium
MSH2;PCNA;Magnesium
MSH2;XRCC5;Magnesium
MSH2;PMS2;Magnesium
MSH2;MSH3;Magnesium
MSH6;SWSAP1;Magnesium
MSH6;XRCC4;Magnesium
MSH6;ERCC5;Magnesium
MSH6;PRKDC;Magnesium
MSH6;MSH3;Magnesium
MSH6;PMS2;Magnesium
MAD2L2;MCM3;Magnesium
MAD2L2;BUB1B;Magnesium
MAD2L2;POLA1;Magnesium
MAD2L2;BUB1;Magnesium
MAD2L2;POLE;Magnesium
MAD2L2;MAD2L1;Magnesium
MAD2L2;POLD1;Magnesium
MAD2L2;POLD3;Magnesium
MAD2L2;REV1;Magnesium
MAD2L2;POLD2;Magnesium
MAD2L2;REV3L;Magnesium
MND1;PSMC3IP;Magnesium
POLK;TP53;Magnesium
POLK;REV1;Magnesium
POLK;PCNA;Magnesium
H4C6;CENPA;Magnesium
RPA1;POLD3;Magnesium
RPA1;SMARCAL1;Magnesium
RPA1;RFWD3;Magnesium
H3-3B;CENPA;Magnesium
H3-3B;MCM2;Magnesium
CCNB1;CDC26;Magnesium
CCNB1;ANAPC7;Magnesium
PHC2;BRCA2;Magnesium
PHC2;BUB1B;Magnesium
PHC2;RAD51;Magnesium
PHC2;ANAPC1;Magnesium
PHC2;ANAPC7;Magnesium
PHC2;ANAPC10;Magnesium
PHC2;ANAPC15;Magnesium
PHC2;ANAPC16;Magnesium
PHC2;CDC23;Magnesium
PHC2;CDC26;Magnesium
PHC2;ANAPC11;Magnesium
PHC2;ANAPC13;Magnesium
PHC2;CDC16;Magnesium
PHC2;ANAPC5;Magnesium
PHC2;CDC27;Magnesium
PHC2;BARD1;Magnesium
PHC2;BRCA1;Magnesium
PHC2;CUL7;Magnesium
PHC2;BABAM2;Magnesium
PHC2;ANAPC2;Magnesium
PHC2;BRCC3;Magnesium
PHC2;UBE2C;Magnesium
PHC2;ANAPC4;Magnesium
PHC2;UBE2S;Magnesium
PHC2;BCOR;Magnesium
PHC2;PHC3;Magnesium
PHC2;PCGF6;Magnesium
PHC2;CBX4;Magnesium
PHC2;PHC1;Magnesium
PHC2;RNF2;Magnesium
PHC2;PCGF2;Magnesium
PHC2;RING1;Magnesium
PHC2;CBX8;Magnesium
PHC2;BMI1;Magnesium
PHC2;CBX2;Magnesium
REV1;PCNA;Magnesium
REV1;POLD3;Magnesium
REV1;POLH;Magnesium
REV1;REV3L;Magnesium
HUS1;RAD9B;Magnesium
BRIP1;KAT5;Magnesium
BRIP1;PMS2;Magnesium
TOPBP1;RAD9B;Magnesium
TOPBP1;MCM3;Magnesium
TOPBP1;E2F1;Magnesium
BARD1;BUB1B;Magnesium
BARD1;H3C13;Magnesium
BARD1;PHC3;Magnesium
BARD1;PCGF6;Magnesium
BARD1;ANAPC15;Magnesium
BARD1;CBX4;Magnesium
BARD1;ANAPC16;Magnesium
BARD1;CBX2;Magnesium
BARD1;PHC1;Magnesium
BARD1;BCOR;Magnesium
BARD1;ANAPC7;Magnesium
BARD1;CDC26;Magnesium
BARD1;CBX8;Magnesium
BARD1;PCGF2;Magnesium
BARD1;CUL7;Magnesium
BARD1;ANAPC11;Magnesium
BARD1;BMI1;Magnesium
BARD1;RING1;Magnesium
BARD1;H3C12;Magnesium
BARD1;UBE2S;Magnesium
BARD1;RNF2;Magnesium
BARD1;UIMC1;Magnesium
BARD1;ABRAXAS1;Magnesium
BARD1;BABAM2;Magnesium
BARD1;BRCC3;Magnesium
ANAPC5;CBX4;Magnesium
ANAPC5;CBX8;Magnesium
ANAPC5;CBX2;Magnesium
ANAPC5;PHC3;Magnesium
ANAPC5;BCOR;Magnesium
ANAPC5;PCGF6;Magnesium
ANAPC5;BMI1;Magnesium
ANAPC5;BRCC3;Magnesium
ANAPC5;RNF2;Magnesium
ANAPC5;PCGF2;Magnesium
ANAPC5;PHC1;Magnesium
ANAPC5;CUL7;Magnesium
ANAPC5;RING1;Magnesium
ANAPC5;BABAM2;Magnesium
ANAPC5;UBE2S;Magnesium
ANAPC5;BUB1B;Magnesium
ANAPC5;ANAPC15;Magnesium
ANAPC5;ANAPC7;Magnesium
ANAPC5;ANAPC11;Magnesium
ANAPC5;CDC26;Magnesium
ANAPC5;ANAPC16;Magnesium
TIPIN;RECQL4;Magnesium
TIPIN;POLE;Magnesium
TIPIN;MCM6;Magnesium
TIPIN;MCM3;Magnesium
TIPIN;MCM4;Magnesium
TIPIN;MCM2;Magnesium
TIPIN;WDHD1;Magnesium
MCM4;CHEK2;Magnesium
MCM4;POLE;Magnesium
MCM4;MCM8;Magnesium
MCM4;WDHD1;Magnesium
POLD3;RPA2;Magnesium
POLD3;MCM3;Magnesium
POLD3;POLE;Magnesium
POLD3;FEN1;Magnesium
POLD3;POLA1;Magnesium
POLD3;REV3L;Magnesium
POLD3;PCNA;Magnesium
POLD3;POLD2;Magnesium
POLD3;POLD1;Magnesium
MCM6;POLE;Magnesium
MCM6;MCM8;Magnesium
MCM6;WDHD1;Magnesium
ZRANB3;PCNA;Magnesium
UBE2S;BRCA2;Magnesium
UBE2S;RAD51;Magnesium
UBE2S;PHC1;Magnesium
UBE2S;BCOR;Magnesium
UBE2S;PHC3;Magnesium
UBE2S;CBX4;Magnesium
UBE2S;PCGF6;Magnesium
UBE2S;CBX2;Magnesium
UBE2S;BABAM2;Magnesium
UBE2S;PCGF2;Magnesium
UBE2S;CBX8;Magnesium
UBE2S;BMI1;Magnesium
UBE2S;RNF2;Magnesium
UBE2S;BRCC3;Magnesium
UBE2S;CUL7;Magnesium
UBE2S;RING1;Magnesium
UBE2S;CDC26;Magnesium
UBE2S;ANAPC13;Magnesium
UBE2S;ANAPC16;Magnesium
UBE2S;ANAPC7;Magnesium
UBE2S;ANAPC1;Magnesium
UBE2S;ANAPC15;Magnesium
UBE2S;CDC16;Magnesium
UBE2S;CDC23;Magnesium
UBE2S;ANAPC2;Magnesium
UBE2S;ANAPC10;Magnesium
UBE2S;ANAPC11;Magnesium
RAD18;POLH;Magnesium
RAD18;HLTF;Magnesium
RAD18;PCNA;Magnesium
MCM2;H3C13;Magnesium
MCM2;H3C12;Magnesium
MCM2;MCM8;Magnesium
MCM2;POLE;Magnesium
MCM2;WDHD1;Magnesium
MSH3;SWSAP1;Magnesium
MSH3;XRCC4;Magnesium
MSH3;PRKDC;Magnesium
MSH3;LIG4;Magnesium
MSH3;ERCC5;Magnesium
MSH3;XRCC5;Magnesium
MSH3;XRCC6;Magnesium
MSH3;ERCC4;Magnesium
MSH3;ATM;Magnesium
MSH3;POLD1;Magnesium
MSH3;PCNA;Magnesium
PMS2;TP53;Magnesium
PMS2;EXO1;Magnesium
FANCM;PCLAF;Magnesium
FANCM;PCNA;Magnesium
FANCM;MEIOB;Magnesium
FANCM;UBE2T;Magnesium
FANCM;RAD51D-2;Magnesium
FANCM;REV3L;Magnesium
FANCM;RECQL5;Magnesium
FANCM;RECQL4;Magnesium
FANCM;FANCL;Magnesium
TP53;SQSTM1;Magnesium
TP53;SUMO4;Magnesium
TP53;CUL7;Magnesium
TP53;SUMO1;Magnesium
CBX8;BUB1B;Magnesium
CBX8;RAD51;Magnesium
CBX8;BRCA2;Magnesium
CBX8;ANAPC7;Magnesium
CBX8;ANAPC10;Magnesium
CBX8;ANAPC1;Magnesium
CBX8;ANAPC15;Magnesium
CBX8;CDC26;Magnesium
CBX8;ANAPC16;Magnesium
CBX8;ANAPC4;Magnesium
CBX8;CDC16;Magnesium
CBX8;BRCC3;Magnesium
CBX8;ANAPC11;Magnesium
CBX8;ANAPC13;Magnesium
CBX8;BABAM2;Magnesium
CBX8;CDC27;Magnesium
CBX8;UBE2C;Magnesium
CBX8;CUL7;Magnesium
CBX8;CDC23;Magnesium
CBX8;ANAPC2;Magnesium
CBX8;BRCA1;Magnesium
CBX8;BCOR;Magnesium
CBX8;PCGF6;Magnesium
CBX8;PHC1;Magnesium
CBX8;PHC3;Magnesium
CBX8;CBX2;Magnesium
CBX8;RNF2;Magnesium
CBX8;PCGF2;Magnesium
CBX8;CBX4;Magnesium
CBX8;BMI1;Magnesium
CBX8;RING1;Magnesium
CBX4;BUB1B;Magnesium
CBX4;BRCA2;Magnesium
CBX4;RAD51;Magnesium
CBX4;ANAPC1;Magnesium
CBX4;ANAPC10;Magnesium
CBX4;ANAPC7;Magnesium
CBX4;ANAPC15;Magnesium
CBX4;CDC26;Magnesium
CBX4;CDC23;Magnesium
CBX4;ANAPC16;Magnesium
CBX4;ANAPC4;Magnesium
CBX4;CDC16;Magnesium
CBX4;ANAPC11;Magnesium
CBX4;ANAPC13;Magnesium
CBX4;BABAM2;Magnesium
CBX4;CUL7;Magnesium
CBX4;UBE2C;Magnesium
CBX4;ANAPC2;Magnesium
CBX4;BRCC3;Magnesium
CBX4;CDC27;Magnesium
CBX4;BRCA1;Magnesium
CBX4;BCOR;Magnesium
CBX4;PCGF6;Magnesium
CBX4;PHC3;Magnesium
CBX4;PCGF2;Magnesium
CBX4;PHC1;Magnesium
CBX4;CBX2;Magnesium
CBX4;BMI1;Magnesium
CBX4;RNF2;Magnesium
CBX4;RING1;Magnesium
ATM;SWSAP1;Magnesium
ATM;SQSTM1;Magnesium
ATM;ERCC5;Magnesium
ATM;XRCC4;Magnesium
ATM;KAT5;Magnesium
NSMCE2;SUMO4;Magnesium
NSMCE2;SMC6;Magnesium
NSMCE2;SMC5;Magnesium
BUB1B;RNF2;Magnesium
BUB1B;BRCC3;Magnesium
BUB1B;RING1;Magnesium
BUB1B;PCGF2;Magnesium
BUB1B;PHC1;Magnesium
BUB1B;PCGF6;Magnesium
BUB1B;BABAM2;Magnesium
BUB1B;BCOR;Magnesium
BUB1B;BMI1;Magnesium
BUB1B;CBX2;Magnesium
BUB1B;PHC3;Magnesium
BUB1B;CUL7;Magnesium
BUB1B;BRCA2;Magnesium
BUB1B;ANAPC13;Magnesium
BUB1B;ANAPC11;Magnesium
BUB1B;ANAPC15;Magnesium
BUB1B;CDC26;Magnesium
BUB1B;ANAPC16;Magnesium
BUB1B;ANAPC2;Magnesium
BUB1B;CDC23;Magnesium
BUB1B;CDC16;Magnesium
BUB1B;ANAPC7;Magnesium
BUB1B;ANAPC10;Magnesium
BUB1B;ANAPC1;Magnesium
FANCD2;UBE2T;Magnesium
FANCD2;FANCL;Magnesium
CCNB2;ANAPC7;Magnesium
CCNB2;CDC26;Magnesium
FANCC;UBE2T;Magnesium
FANCC;FANCL;Magnesium
SLX4;PLK1;Magnesium
MAD2L1;CDC20B;Magnesium
MAD2L1;ANAPC15;Magnesium
MAD2L1;ANAPC16;Magnesium
MAD2L1;CDC26;Magnesium
MAD2L1;ANAPC7;Magnesium
PLK1;TOP3A;Magnesium
PLK1;CHEK2;Magnesium
CDT1;DTL;Magnesium
BUB1;ANAPC11;Magnesium
MUS81;RECQL4;Magnesium
CBX2;RAD51;Magnesium
CBX2;BRCA2;Magnesium
CBX2;ANAPC4;Magnesium
CBX2;CUL7;Magnesium
CBX2;ANAPC13;Magnesium
CBX2;ANAPC11;Magnesium
CBX2;ANAPC15;Magnesium
CBX2;CDC16;Magnesium
CBX2;BRCC3;Magnesium
CBX2;CDC26;Magnesium
CBX2;ANAPC10;Magnesium
CBX2;ANAPC2;Magnesium
CBX2;ANAPC16;Magnesium
CBX2;CDC27;Magnesium
CBX2;ANAPC7;Magnesium
CBX2;BABAM2;Magnesium
CBX2;ANAPC1;Magnesium
CBX2;CDC23;Magnesium
CBX2;UBE2C;Magnesium
CBX2;BRCA1;Magnesium
CBX2;BCOR;Magnesium
CBX2;PCGF6;Magnesium
CBX2;H3-2;Magnesium
CBX2;H3C13;Magnesium
CBX2;H3C12;Magnesium
CBX2;PHC3;Magnesium
CBX2;RING1;Magnesium
CBX2;BMI1;Magnesium
CBX2;RNF2;Magnesium
CBX2;PCGF2;Magnesium
CBX2;PHC1;Magnesium
HLTF;RAD51;Magnesium
HLTF;PCNA;Magnesium
HLTF;UBE2V2;Magnesium
SWSAP1;PRKDC;Magnesium
SWSAP1;XRCC4;Magnesium
