Prot_A;Prot_B;Renew component
NR3C1;NCOA1;Choline
NR3C1;NCOA2;Choline
NR3C1;HSP90AA1;Choline
FOXA1;EP300;Choline
FOXA1;AR;Choline
FOXA1;GATA3;Choline
PIK3R3;PGR;Choline
PIK3R3;ERBB4;Choline
PIK3R3;SRC;Choline
PIK3R3;ERBB2;Choline
PIK3R3;IGF1R;Choline
PIK3R3;EGFR;Choline
PIK3R3;PIK3R1;Choline
PIK3R3;PIK3CA;Choline
PIK3R3;PIK3CD;Choline
PIK3R3;PIK3CB;Choline
EP300;PARP1;Choline
EP300;GREB1;Choline
EP300;CDK2;Choline
EP300;AR;Choline
EP300;GATA3;Choline
EP300;BRCA1;Choline
EP300;ESR1;Choline
EP300;NCOA2;Choline
EP300;RELA;Choline
EP300;STAT3;Choline
EP300;TP53;Choline
EP300;HIF1A;Choline
EP300;NCOA1;Choline
EP300;MYC;Choline
EP300;NCOA3;Choline
PIK3CA;PGR;Choline
PIK3CA;ERBB4;Choline
PIK3CA;IGF1R;Choline
PIK3CA;SRC;Choline
PIK3CA;ERBB2;Choline
PIK3CA;PIK3CD;Choline
PIK3CA;PIK3CB;Choline
PIK3CA;EGFR;Choline
PIK3CA;PIK3R1;Choline
STAT3;ERBB2;Choline
STAT3;MYC;Choline
STAT3;RELA;Choline
STAT3;HIF1A;Choline
STAT3;TP53;Choline
STAT3;STAT5A;Choline
STAT3;EGFR;Choline
STAT3;STAT5B;Choline
STAT3;SRC;Choline
EGF;IGF1R;Choline
EGF;ERBB2;Choline
EGF;EGFR;Choline
CDK2;BRCA1;Choline
CDK2;TP53;Choline
CDK2;RB1;Choline
RB1;ARID1A;Choline
RB1;BRCA1;Choline
NCOR1;AR;Choline
NCOR1;PGR;Choline
NCOR1;NCOR2;Choline
NCOR1;ESR1;Choline
TP53;PIAS1;Choline
TP53;MAPK11;Choline
TP53;PARP1;Choline
TP53;MAPK9;Choline
TP53;ESR1;Choline
TP53;BRCA2;Choline
TP53;HSPA4;Choline
TP53;MAPK8;Choline
TP53;HIF1A;Choline
TP53;HSP90AA1;Choline
TP53;BRCA1;Choline
ERBB2;PIK3CD;Choline
ERBB2;PIK3CB;Choline
ERBB2;PIK3R1;Choline
ERBB2;ERBB4;Choline
ERBB2;EGFR;Choline
ERBB2;SRC;Choline
ERBB2;HSP90AA1;Choline
EGFR;PIK3CD;Choline
EGFR;HSPA4;Choline
EGFR;PIK3CB;Choline
EGFR;ERBB4;Choline
EGFR;STAT5B;Choline
EGFR;PIK3R1;Choline
EGFR;STAT5A;Choline
EGFR;HSP90AB1;Choline
EGFR;HSP90AA1;Choline
EGFR;SRC;Choline
TFF1;ESR1;Choline
STAT5B;STAT5A;Choline
STAT5B;ERBB4;Choline
HSPA4;ESR1;Choline
HSPA4;HIF1A;Choline
HSPA4;STIP1;Choline
HSPA4;HSP90AB1;Choline
HSPA4;HSP90AA1;Choline
PRKACA;NCOA3;Choline
PRKACA;IGF1R;Choline
PRKACA;PGR;Choline
PRKACA;AR;Choline
PRKACA;ESR1;Choline
PRKACA;PRKACG;Choline
PRKACA;PRKACB;Choline
PRKACA;RELA;Choline
PGR;PTGES3;Choline
PGR;ERBB4;Choline
PGR;MAPK9;Choline
PGR;MAPK11;Choline
PGR;PIK3CD;Choline
PGR;PIK3CB;Choline
PGR;MAPK8;Choline
PGR;PIK3R1;Choline
PGR;PRKACB;Choline
PGR;PRKACG;Choline
PGR;ESR1;Choline
PGR;NCOA3;Choline
PGR;NCOR2;Choline
PGR;NCOA1;Choline
MAPK11;NCOA3;Choline
MAPK11;MAPK9;Choline
MAPK11;MAPK8;Choline
MAPK11;ESR1;Choline
HSP90AA1;HSP90AB1;Choline
HSP90AA1;AR;Choline
HSP90AA1;ESR1;Choline
HSP90AA1;SRC;Choline
HSP90AA1;HIF1A;Choline
HSP90AA1;PTGES3;Choline
HSP90AA1;STIP1;Choline
HSP90AA1;FKBP5;Choline
STAT5A;ERBB4;Choline
ERBB4;SRC;Choline
ERBB4;PIK3CD;Choline
ERBB4;PIK3CB;Choline
ERBB4;PIK3R1;Choline
ERBB4;ESR1;Choline
NR3C2;PTGES3;Choline
NR3C2;NCOA1;Choline
STIP1;PTGES3;Choline
STIP1;HSP90AB1;Choline
PRKACB;NCOA3;Choline
PRKACB;IGF1R;Choline
PRKACB;AR;Choline
PRKACB;ESR1;Choline
PRKACB;RELA;Choline
PRKACB;PRKACG;Choline
HSP90AB1;HIF1A;Choline
HSP90AB1;AR;Choline
HSP90AB1;FKBP5;Choline
HSP90AB1;PTGES3;Choline
NCOA3;PRKACG;Choline
NCOA3;MAPK9;Choline
NCOA3;MAPK8;Choline
NCOA3;SRC;Choline
NCOA3;NCOA1;Choline
NCOA3;NCOA2;Choline
NCOA3;AR;Choline
NCOA3;ESR1;Choline
SRC;GPER1;Choline
SRC;MAPK9;Choline
SRC;FGFR2;Choline
SRC;MAPK8;Choline
SRC;PIK3CD;Choline
SRC;PIK3CB;Choline
SRC;AR;Choline
SRC;IGF1R;Choline
SRC;PIK3R1;Choline
SRC;ESR1;Choline
AR;FKBP5;Choline
AR;PRKACG;Choline
AR;PTGES3;Choline
AR;NCOR2;Choline
AR;NCOA1;Choline
AR;NCOA2;Choline
PRKACG;IGF1R;Choline
PRKACG;ESR1;Choline
PRKACG;RELA;Choline
PIK3CD;IGF1R;Choline
PIK3CD;PIK3CB;Choline
PIK3CD;PIK3R1;Choline
BRCA2;BRCA1;Choline
MAPK8;ESR1;Choline
MAPK8;RELA;Choline
MAPK8;MAPK9;Choline
NCOR2;ESR1;Choline
RELA;MAPK9;Choline
RELA;ESR1;Choline
NCOA1;NCOA2;Choline
NCOA1;ESR1;Choline
MAPK9;ESR1;Choline
NCOA2;ESR1;Choline
ESR1;PTGES3;Choline
ESR1;PIK3R1;Choline
ESR1;IGF1R;Choline
ESR1;BRCA1;Choline
BRCA1;MYC;Choline
PIK3R1;IGF1R;Choline
PIK3R1;PIK3CB;Choline
FKBP5;PTGES3;Choline
IGF1R;PIK3CB;Choline
GNB3;HTR7;Choline
GNB3;GNAI2;Choline
GNB3;GNG3;Choline
GNB3;GNG13;Choline
GNB3;GNG4;Choline
GNB3;GNG2;Choline
GNB3;GNG7;Choline
GNB4;HTR7;Choline
GNB4;GNAI2;Choline
GNB4;GNAI3;Choline
GNB4;GNG3;Choline
GNB4;GNG13;Choline
GNB4;GNG7;Choline
GNG13;HTR7;Choline
GNG13;GNG7;Choline
GNG13;GNB1;Choline
GNB5;HTR7;Choline
GNB5;GNG3;Choline
GNB5;GNG7;Choline
CRH;GNB1;Choline
CRH;GNG2;Choline
SST;GNAI3;Choline
GNG3;HTR7;Choline
GNG3;GNB2;Choline
GALR1;GNG2;Choline
GALR1;GNB1;Choline
GALR1;GNAI1;Choline
GNB2;HTR7;Choline
GNB2;GNAI2;Choline
GNB2;GNAI3;Choline
GNB2;GNG4;Choline
GNB2;GNG7;Choline
GNB2;GNG2;Choline
GNAI2;GNG7;Choline
GNAI2;GNG4;Choline
GNAI2;GNAI3;Choline
HTR1A;GNG2;Choline
HTR1A;GNAI1;Choline
HTR1A;GNB1;Choline
GNG2;GHRL;Choline
GNG2;HTR2A;Choline
GNG2;GRM4;Choline
GNG2;GNAI3;Choline
GNG2;HTR1B;Choline
GNG2;HTR7;Choline
GHRL;GNB1;Choline
EDN3;EDN1;Choline
HTR7;GNG7;Choline
HTR7;GNG4;Choline
HTR7;GNB1;Choline
MAOA;MAOB;Choline
GNAI3;GRM4;Choline
GNAI3;GNG7;Choline
GNAI3;GNG4;Choline
GNAI3;GNAI1;Choline
GNAI3;GNB1;Choline
HTR1B;GNB1;Choline
GNB1;GRM4;Choline
GNB1;HTR2A;Choline
GNB1;GNG7;Choline
GNG7;GNAI1;Choline
SNRPD3;GAR1;Choline
SNRPD3;GEMIN4;Choline
SNRPD3;HNRNPC;Choline
SNRPD3;GEMIN8;Choline
SNRPD3;SMN2;Choline
SNRPD3;GEMIN7;Choline
SNRPD3;DDX20;Choline
SNRPD3;STRAP;Choline
SNRPD3;SRSF1;Choline
SNRPD3;GEMIN2;Choline
SNRPD3;GEMIN6;Choline
SNRPD3;LSM11;Choline
SNRPD3;GEMIN5;Choline
SNRPD3;SMN1;Choline
SNRPD3;WDR77;Choline
SNRPD3;PRMT5;Choline
SNRPD3;CLNS1A;Choline
SNRPD3;SNRPG;Choline
SNRPD3;LSM4;Choline
SNRPD3;SNRPD1;Choline
SNRPD3;SNRPD2;Choline
SNRPD3;SNRPF;Choline
SNRPD3;LSM10;Choline
SNRPD3;SNRNP70;Choline
SNRPD3;SNRPB;Choline
SNRPD3;SNRPE;Choline
GAR1;LSM11;Choline
GAR1;HNRNPC;Choline
GAR1;SNRPE;Choline
GAR1;SNRPB;Choline
SRSF9;SRSF3;Choline
SRSF9;SRSF1;Choline
SRSF9;TRA2B;Choline
WDR77;SNRPG;Choline
WDR77;SNRPF;Choline
WDR77;SNRPE;Choline
WDR77;SNRPD2;Choline
WDR77;SNRPD1;Choline
WDR77;SNRPB;Choline
WDR77;CLNS1A;Choline
WDR77;PRMT5;Choline
TARDBP;FUS;Choline
COIL;SMN1;Choline
SRSF1;LSM4;Choline
SRSF1;SNRPB;Choline
SRSF1;SNRPD1;Choline
SRSF1;SNRPG;Choline
SRSF1;SNRPE;Choline
SRSF1;SNRPD2;Choline
SRSF1;SNRPF;Choline
SRSF1;SRSF3;Choline
SRSF1;TRA2B;Choline
SRSF1;SNRNP70;Choline
SNRPF;GEMIN7;Choline
SNRPF;PRMT5;Choline
SNRPF;STRAP;Choline
SNRPF;GEMIN4;Choline
SNRPF;GEMIN5;Choline
SNRPF;GEMIN8;Choline
SNRPF;GEMIN6;Choline
SNRPF;DDX20;Choline
SNRPF;LSM11;Choline
SNRPF;SMN2;Choline
SNRPF;CLNS1A;Choline
SNRPF;SMN1;Choline
SNRPF;GEMIN2;Choline
SNRPF;LSM4;Choline
SNRPF;SNRPB;Choline
SNRPF;SNRPE;Choline
SNRPF;LSM10;Choline
SNRPF;SNRNP70;Choline
SNRPF;SNRPD2;Choline
SNRPF;SNRPD1;Choline
SNRPF;SNRPG;Choline
GEMIN7;SNRNP70;Choline
GEMIN7;SNRPG;Choline
GEMIN7;SNRPD2;Choline
GEMIN7;SNRPB;Choline
GEMIN7;SMN2;Choline
GEMIN7;SNRPD1;Choline
GEMIN7;SNRPE;Choline
GEMIN7;SMN1;Choline
GEMIN7;GEMIN4;Choline
GEMIN7;GEMIN5;Choline
GEMIN7;STRAP;Choline
GEMIN7;GEMIN8;Choline
GEMIN7;GEMIN6;Choline
GEMIN7;DDX20;Choline
GEMIN7;GEMIN2;Choline
GEMIN6;SNRNP70;Choline
GEMIN6;SMN2;Choline
GEMIN6;SNRPD1;Choline
GEMIN6;SNRPG;Choline
GEMIN6;SNRPD2;Choline
GEMIN6;SNRPB;Choline
