Prot_A;Prot_B;Condition
RPS12;RPL27A;cell_growth
RPS12;RPS10;cell_growth
RPS12;RPL36;cell_growth
RPS12;RPL6;cell_growth
RPS12;RPL13;cell_growth
RPS12;RPSA;cell_growth
RPS12;RPL35;cell_growth
RPS12;RACK1;cell_growth
RPS12;RPL15;cell_growth
RPS12;RPS19;cell_growth
RPS12;RPL23;cell_growth
RPS12;RPS18;cell_growth
RPS12;RPL34;cell_growth
RPS12;RPL5;cell_growth
RPS12;RPS16;cell_growth
RPS12;RPS17;cell_growth
RPS12;RPL30;cell_growth
RPS12;RPS28;cell_growth
RPS12;RPS5;cell_growth
RPS12;RPS4X;cell_growth
RPS12;RPS7;cell_growth
RPS12;RPL4;cell_growth
RPS12;RPL17;cell_growth
RPS12;RPL23A;cell_growth
RPS12;RPS20;cell_growth
RPS12;RPL8;cell_growth
RPS12;RPL10A;cell_growth
RPS12;RPS25;cell_growth
RPS12;RPL26;cell_growth
RPS12;UBA52;cell_growth
RPS12;RPS6;cell_growth
RPS12;RPL37A;cell_growth
RPS12;RPL24;cell_growth
RPS12;RPS15;cell_growth
RPS12;RPS2;cell_growth
RPS12;RPS8;cell_growth
MPHOSPH10;RPS17;cell_growth
MPHOSPH10;FAU;cell_growth
MPHOSPH10;RPS27A;cell_growth
MPHOSPH10;NHP2;cell_growth
MPHOSPH10;NOP10;cell_growth
MPHOSPH10;RPS4X;cell_growth
MPHOSPH10;RPS15A;cell_growth
MPHOSPH10;RPS27;cell_growth
MPHOSPH10;RPS19;cell_growth
MPHOSPH10;RPS18;cell_growth
MPHOSPH10;RPS24;cell_growth
MPHOSPH10;RPS11;cell_growth
MPHOSPH10;RPS14;cell_growth
MPHOSPH10;RPS16;cell_growth
MPHOSPH10;RPS5;cell_growth
MPHOSPH10;RPS3A;cell_growth
MPHOSPH10;RPS8;cell_growth
MPHOSPH10;RPS13;cell_growth
MPHOSPH10;DDX18;cell_growth
MPHOSPH10;RSL1D1;cell_growth
MPHOSPH10;RPS23;cell_growth
MPHOSPH10;RPS28;cell_growth
MPHOSPH10;RPS9;cell_growth
MPHOSPH10;RPS7;cell_growth
MPHOSPH10;RPS6;cell_growth
MPHOSPH10;NAT10;cell_growth
MPHOSPH10;RRP7A;cell_growth
MPHOSPH10;NOP58;cell_growth
MPHOSPH10;WDR43;cell_growth
NOP53;RPL17;cell_growth
NOP53;RPL22;cell_growth
NOP53;UBA52;cell_growth
NOP53;RPL26;cell_growth
NOP53;RPL23;cell_growth
NOP53;RPL9;cell_growth
NOP53;RPL34;cell_growth
NOP53;RPL10L;cell_growth
NOP53;RPL6;cell_growth
NOP53;RPL10A;cell_growth
NOP53;RPL21;cell_growth
NOP53;RPL39;cell_growth
NOP53;RPL35A;cell_growth
NOP53;RPL27;cell_growth
NOP53;RPL13A;cell_growth
NOP53;RPL24;cell_growth
NOP53;RPL7;cell_growth
NOP53;RPL37;cell_growth
NOP53;RPL14;cell_growth
NOP53;RPL15;cell_growth
NOP53;RPL12;cell_growth
NOP53;RPL31;cell_growth
NOP53;RPL37A;cell_growth
NOP53;RPL36;cell_growth
NOP53;RPL8;cell_growth
NOP53;RPL35;cell_growth
NOP53;RPL7A;cell_growth
NOP53;RPL13;cell_growth
NOP53;RPL3;cell_growth
NOP53;RPL18;cell_growth
NOP53;RPL4;cell_growth
NOP53;RPL27A;cell_growth
NOP53;RPL29;cell_growth
NOP53;RPL32;cell_growth
NOP53;RPL38;cell_growth
NOP53;RPL30;cell_growth
NOP53;RPL23A;cell_growth
NOP53;PA2G4;cell_growth
NOP53;RPL11;cell_growth
NOP53;NIFK;cell_growth
NOP53;RPL5;cell_growth
NOP53;RSL1D1;cell_growth
NOP53;SDAD1;cell_growth
NAT10;RPS27A;cell_growth
NAT10;RPS17;cell_growth
NAT10;NOP10;cell_growth
NAT10;RPS19;cell_growth
NAT10;RPS4X;cell_growth
NAT10;RPS15A;cell_growth
NAT10;RPS27;cell_growth
NAT10;RPS14;cell_growth
NAT10;RPS24;cell_growth
NAT10;RPS16;cell_growth
NAT10;RPS28;cell_growth
NAT10;NHP2;cell_growth
NAT10;RPS18;cell_growth
NAT10;RPS11;cell_growth
NAT10;RPS7;cell_growth
NAT10;RPS6;cell_growth
NAT10;RPS9;cell_growth
NAT10;RPS3A;cell_growth
NAT10;RSL1D1;cell_growth
NAT10;RPS8;cell_growth
NAT10;RPS5;cell_growth
NAT10;RPS13;cell_growth
NAT10;RPS23;cell_growth
NAT10;RRP7A;cell_growth
NAT10;WDR43;cell_growth
NAT10;NOP58;cell_growth
RPL35;RRP1;cell_growth
RPL35;LYAR;cell_growth
RPL35;TMA16;cell_growth
RPL35;GNL3;cell_growth
RPL35;RRP1B;cell_growth
RPL35;NOC2L;cell_growth
RPL35;EBNA1BP2;cell_growth
RPL35;RPF1;cell_growth
RPL35;RSL1D1;cell_growth
RPL35;DDX18;cell_growth
RPL35;NIFK;cell_growth
RPL35;EEF1A1;cell_growth
RPL35;RPL36A;cell_growth
RPL35;RPL10L;cell_growth
RPL35;RPL39;cell_growth
RPL35;RPS15A;cell_growth
RPL35;RPL4;cell_growth
RPL35;RPS7;cell_growth
RPL35;RPS4X;cell_growth
RPL35;PA2G4;cell_growth
RPL35;RPS28;cell_growth
RPL35;RPS5;cell_growth
RPL35;RPL30;cell_growth
RPL35;RPS17;cell_growth
RPL35;RPL24;cell_growth
RPL35;RPL37A;cell_growth
RPL35;RPS8;cell_growth
RPL35;RPS2;cell_growth
RPL35;RPS15;cell_growth
RPL35;RPS6;cell_growth
RPL35;UBA52;cell_growth
RPL35;RPL26;cell_growth
RPL35;RPL10A;cell_growth
RPL35;RPS25;cell_growth
RPL35;RPL23A;cell_growth
RPL35;RPL17;cell_growth
RPL35;RPL8;cell_growth
RPL35;RPS20;cell_growth
RPL35;RPL13;cell_growth
RPL35;RPS10;cell_growth
RPL35;RPL27A;cell_growth
RPL35;RPL7A;cell_growth
RPL35;RPL6;cell_growth
RPL35;RPL36;cell_growth
RPL35;RPL11;cell_growth
RPL35;RPS24;cell_growth
RPL35;RPL7;cell_growth
RPL35;RPS21;cell_growth
RPL35;RPL18;cell_growth
RPL35;RPL9;cell_growth
RPL35;RPL34;cell_growth
RPL35;RPS18;cell_growth
RPL35;RPS16;cell_growth
RPL35;RPL5;cell_growth
RPL35;RPL23;cell_growth
RPL35;RPS19;cell_growth
RPL35;RPL15;cell_growth
RPL35;RACK1;cell_growth
RPL35;RPSA;cell_growth
RPL35;RPS9;cell_growth
RPL35;RPS23;cell_growth
RPL35;RPL38;cell_growth
RPL35;RPL13A;cell_growth
RPL35;RPS14;cell_growth
RPL35;RPL12;cell_growth
RPL35;RPS3A;cell_growth
RPL35;RPS13;cell_growth
RPL35;RPS27A;cell_growth
RPL35;RPS3;cell_growth
RPL35;RPL29;cell_growth
RPL35;RPL22;cell_growth
RPL35;RPL27;cell_growth
RPL35;FAU;cell_growth
RPL35;RPLP0;cell_growth
RPL35;RPL32;cell_growth
RPL35;RPL3;cell_growth
RPL35;RPL31;cell_growth
RPL35;RPL28;cell_growth
RPL35;RPS27;cell_growth
RPL35;RPL35A;cell_growth
RPL35;RPL37;cell_growth
RPL35;RPS11;cell_growth
RPL35;RPL14;cell_growth
RPL35;RPL21;cell_growth
RPL35;RPS29;cell_growth
RPL35;RPS26;cell_growth
RPL8;TMA16;cell_growth
RPL8;LYAR;cell_growth
RPL8;EEF1A1;cell_growth
RPL8;PA2G4;cell_growth
RPL8;RPL10L;cell_growth
RPL8;RPS15A;cell_growth
RPL8;RPL22;cell_growth
RPL8;RPL4;cell_growth
RPL8;RPS7;cell_growth
RPL8;RPS4X;cell_growth
RPL8;RPS5;cell_growth
RPL8;RPS28;cell_growth
RPL8;RPL30;cell_growth
RPL8;RPS17;cell_growth
RPL8;RPS8;cell_growth
RPL8;RPS2;cell_growth
RPL8;RPS15;cell_growth
RPL8;RPL37A;cell_growth
RPL8;RPL24;cell_growth
RPL8;RPL26;cell_growth
RPL8;RPS6;cell_growth
RPL8;UBA52;cell_growth
RPL8;RPS25;cell_growth
RPL8;RPL10A;cell_growth
RPL8;RPS20;cell_growth
RPL8;RPL17;cell_growth
RPL8;RPL23A;cell_growth
RPL8;RPL13;cell_growth
RPL8;RPL6;cell_growth
RPL8;RPL36;cell_growth
RPL8;RPS10;cell_growth
RPL8;RPL27A;cell_growth
RPL8;RPL7A;cell_growth
RPL8;RPL11;cell_growth
RPL8;RPS24;cell_growth
RPL8;RPS21;cell_growth
RPL8;RPL18;cell_growth
RPL8;RPL9;cell_growth
RPL8;RPL7;cell_growth
RPL8;RPS16;cell_growth
RPL8;RPL5;cell_growth
RPL8;RPS18;cell_growth
RPL8;RPL34;cell_growth
RPL8;RPL23;cell_growth
RPL8;RPS19;cell_growth
RPL8;RPL15;cell_growth
RPL8;RACK1;cell_growth
RPL8;RPSA;cell_growth
RPL8;RPS9;cell_growth
RPL8;RPL39;cell_growth
RPL8;RPL13A;cell_growth
RPL8;RPL38;cell_growth
RPL8;RPS23;cell_growth
RPL8;RPL12;cell_growth
RPL8;RPS14;cell_growth
RPL8;RPS27A;cell_growth
RPL8;RPS3A;cell_growth
RPL8;RPS13;cell_growth
RPL8;RPS3;cell_growth
RPL8;FAU;cell_growth
RPL8;RPL36A;cell_growth
RPL8;RPL27;cell_growth
RPL8;RPL29;cell_growth
RPL8;RPLP0;cell_growth
RPL8;RPL32;cell_growth
RPL8;RPS27;cell_growth
RPL8;RPL28;cell_growth
RPL8;RPL3;cell_growth
RPL8;RPL31;cell_growth
RPL8;RPL37;cell_growth
RPL8;RPL35A;cell_growth
RPL8;RPS11;cell_growth
RPL8;RPL21;cell_growth
RPL8;RPL14;cell_growth
RPL8;RPS29;cell_growth
RPL8;RPS26;cell_growth
DDX18;RPL22;cell_growth
DDX18;RPL26;cell_growth
DDX18;RPL13A;cell_growth
DDX18;RPL17;cell_growth
DDX18;RPL35A;cell_growth
DDX18;RPL37;cell_growth
DDX18;RPL27;cell_growth
DDX18;RPL21;cell_growth
DDX18;RPL3;cell_growth
DDX18;RPL34;cell_growth
DDX18;RPL23;cell_growth
DDX18;RPL9;cell_growth
DDX18;RPL31;cell_growth
DDX18;RPL6;cell_growth
DDX18;RPL27A;cell_growth
DDX18;RPL18;cell_growth
DDX18;RPL32;cell_growth
DDX18;RPL15;cell_growth
DDX18;RPL30;cell_growth
DDX18;RPL14;cell_growth
DDX18;RPL38;cell_growth
DDX18;RPL4;cell_growth
DDX18;RPL13;cell_growth
DDX18;RRP1;cell_growth
DDX18;RPL36;cell_growth
DDX18;RPL7A;cell_growth
DDX18;RPL23A;cell_growth
DDX18;RRP1B;cell_growth
DDX18;GNL3;cell_growth
DDX18;RPF1;cell_growth
DDX18;EBNA1BP2;cell_growth
DDX18;NOP58;cell_growth
DDX18;NOC2L;cell_growth
DDX18;NIFK;cell_growth
DDX18;RSL1D1;cell_growth
NOP58;FAU;cell_growth
NOP58;RPL4;cell_growth
NOP58;RPS27A;cell_growth
NOP58;RPS4X;cell_growth
NOP58;RPL30;cell_growth
NOP58;RPS17;cell_growth
NOP58;RPS27;cell_growth
NOP58;RPS15A;cell_growth
NOP58;RPS18;cell_growth
NOP58;RPL5;cell_growth
NOP58;RPS16;cell_growth
NOP58;NOP10;cell_growth
NOP58;RPS19;cell_growth
NOP58;RPS14;cell_growth
NOP58;NIFK;cell_growth
NOP58;RPS5;cell_growth
NOP58;RPS24;cell_growth
NOP58;RPS11;cell_growth
NOP58;RPS3A;cell_growth
NOP58;RPS28;cell_growth
NOP58;RRP7A;cell_growth
NOP58;RPS23;cell_growth
NOP58;RPS8;cell_growth
NOP58;RPS6;cell_growth
NOP58;RPS9;cell_growth
NOP58;RPS7;cell_growth
NOP58;RSL1D1;cell_growth
NOP58;RPS13;cell_growth
NOP58;WDR43;cell_growth
NOP58;NHP2;cell_growth
RPS11;LYAR;cell_growth
RPS11;RSL1D1;cell_growth
RPS11;BUD23;cell_growth
RPS11;PA2G4;cell_growth
RPS11;RRP7A;cell_growth
RPS11;EEF1A1;cell_growth
RPS11;WDR43;cell_growth
RPS11;RPL10L;cell_growth
RPS11;RPL13;cell_growth
RPS11;RPL27A;cell_growth
RPS11;RPS10;cell_growth
RPS11;RPL7A;cell_growth
RPS11;RPL6;cell_growth
RPS11;RPL36;cell_growth
RPS11;RPS24;cell_growth
RPS11;RPL11;cell_growth
RPS11;RPL7;cell_growth
RPS11;RPS21;cell_growth
RPS11;RPL9;cell_growth
RPS11;RPL18;cell_growth
RPS11;RPS18;cell_growth
RPS11;RPL34;cell_growth
RPS11;RPS16;cell_growth
RPS11;RPL5;cell_growth
RPS11;RPL23;cell_growth
RPS11;RPS19;cell_growth
RPS11;RACK1;cell_growth
RPS11;RPL15;cell_growth
RPS11;RPSA;cell_growth
RPS11;RPL4;cell_growth
RPS11;RPS4X;cell_growth
RPS11;RPS7;cell_growth
RPS11;RPS28;cell_growth
RPS11;RPS5;cell_growth
RPS11;RPL30;cell_growth
RPS11;RPS17;cell_growth
RPS11;RPL37A;cell_growth
RPS11;RPL24;cell_growth
RPS11;RPS8;cell_growth
RPS11;RPS15;cell_growth
RPS11;RPS2;cell_growth
RPS11;RPL26;cell_growth
RPS11;UBA52;cell_growth
RPS11;RPS6;cell_growth
RPS11;RPL10A;cell_growth
RPS11;RPS25;cell_growth
RPS11;RPL17;cell_growth
RPS11;RPL23A;cell_growth
RPS11;RPS20;cell_growth
RPS11;RPL3;cell_growth
RPS11;RPL31;cell_growth
RPS11;RPS27;cell_growth
RPS11;RPL28;cell_growth
RPS11;RPL35A;cell_growth
RPS11;RPL37;cell_growth
RPS11;RPL14;cell_growth
RPS11;RPL21;cell_growth
RPS11;RPS29;cell_growth
RPS11;RPS26;cell_growth
RPS11;RPS9;cell_growth
RPS11;RPS23;cell_growth
RPS11;RPL39;cell_growth
RPS11;RPL13A;cell_growth
RPS11;RPL38;cell_growth
RPS11;RPS14;cell_growth
RPS11;RPL12;cell_growth
RPS11;RPS15A;cell_growth
RPS11;RPS3A;cell_growth
RPS11;RPS13;cell_growth
RPS11;RPS27A;cell_growth
RPS11;RPS3;cell_growth
RPS11;RPL27;cell_growth
RPS11;RPL22;cell_growth
RPS11;RPL29;cell_growth
RPS11;FAU;cell_growth
RPS11;RPL36A;cell_growth
RPS11;RPLP0;cell_growth
RPS11;RPL32;cell_growth
RPS27A;LYAR;cell_growth
RPS27A;WDR43;cell_growth
RPS27A;BUD23;cell_growth
RPS27A;RRP7A;cell_growth
RPS27A;PA2G4;cell_growth
RPS27A;EEF1A1;cell_growth
RPS27A;RPL10L;cell_growth
RPS27A;RPL22;cell_growth
RPS27A;RPL3;cell_growth
RPS27A;RPL7;cell_growth
RPS27A;RPL10A;cell_growth
RPS27A;RPL28;cell_growth
RPS27A;RPL39;cell_growth
RPS27A;RPS21;cell_growth
RPS27A;RPL9;cell_growth
RPS27A;RPL18;cell_growth
RPS27A;RPS24;cell_growth
RPS27A;RPL11;cell_growth
RPS27A;RPL27A;cell_growth
RPS27A;RPS10;cell_growth
RPS27A;RPL7A;cell_growth
RPS27A;RPL6;cell_growth
