Prot_A;Prot_B
DDX18;RPL18
DDX18;RPL32
DDX18;RPL15
DDX18;RPL30
DDX18;RPL14
DDX18;RPL38
DDX18;RPL4
DDX18;RPL13
DDX18;RRP1
DDX18;RPL36
DDX18;RPL7A
DDX18;RPL23A
DDX18;RRP1B
DDX18;GNL3
DDX18;RPF1
DDX18;EBNA1BP2
DDX18;NOP58
DDX18;NOC2L
DDX18;NIFK
DDX18;RSL1D1
NOP58;FAU
NOP58;RPL4
NOP58;RPS27A
NOP58;RPS4X
NOP58;RPL30
NOP58;RPS17
NOP58;RPS27
NOP58;RPS15A
NOP58;RPS18
NOP58;RPL5
NOP58;RPS16
NOP58;NOP10
NOP58;RPS19
NOP58;RPS14
NOP58;NIFK
NOP58;RPS5
NOP58;RPS24
NOP58;RPS11
NOP58;RPS3A
NOP58;RPS28
NOP58;RRP7A
NOP58;RPS23
NOP58;RPS8
NOP58;RPS6
NOP58;RPS9
NOP58;RPS7
NOP58;RSL1D1
NOP58;RPS13
NOP58;WDR43
NOP58;NHP2
RPS11;LYAR
RPS11;RSL1D1
RPS11;BUD23
RPS11;PA2G4
RPS11;RRP7A
RPS11;EEF1A1
RPS11;WDR43
RPS11;RPL10L
RPS11;RPL13
RPS11;RPL27A
RPS11;RPS10
RPS11;RPL7A
RPS11;RPL6
RPS11;RPL36
RPS11;RPS24
RPS11;RPL11
RPS11;RPL7
RPS11;RPS21
RPS11;RPL9
RPS11;RPL18
RPS11;RPS18
RPS11;RPL34
RPS11;RPS16
RPS11;RPL5
RPS11;RPL23
RPS11;RPS19
RPS11;RACK1
RPS11;RPL15
RPS11;RPSA
RPS11;RPL4
RPS11;RPS4X
RPS11;RPS7
RPS11;RPS28
RPS11;RPS5
RPS11;RPL30
RPS11;RPS17
RPS11;RPL37A
RPS11;RPL24
RPS11;RPS8
RPS11;RPS15
RPS11;RPS2
RPS11;RPL26
RPS11;UBA52
RPS11;RPS6
RPS11;RPL10A
RPS11;RPS25
RPS11;RPL17
RPS11;RPL23A
RPS11;RPS20
RPS11;RPL3
RPS11;RPL31
RPS11;RPS27
RPS11;RPL28
RPS11;RPL35A
RPS11;RPL37
RPS11;RPL14
RPS11;RPL21
RPS11;RPS29
RPS11;RPS26
RPS11;RPS9
RPS11;RPS23
RPS11;RPL39
RPS11;RPL13A
RPS11;RPL38
RPS11;RPS14
RPS11;RPL12
RPS11;RPS15A
RPS11;RPS3A
RPS11;RPS13
RPS11;RPS27A
RPS11;RPS3
RPS11;RPL27
RPS11;RPL22
RPS11;RPL29
RPS11;FAU
RPS11;RPL36A
RPS11;RPLP0
RPS11;RPL32
RPS27A;LYAR
RPS27A;WDR43
RPS27A;BUD23
RPS27A;RRP7A
RPS27A;PA2G4
RPS27A;EEF1A1
RPS27A;RPL10L
RPS27A;RPL22
RPS27A;RPL3
RPS27A;RPL7
RPS27A;RPL10A
RPS27A;RPL28
RPS27A;RPL39
RPS27A;RPS21
RPS27A;RPL9
RPS27A;RPL18
RPS27A;RPS24
