Compound,Protein,Neighborhood_1,Tag
Choline,PLCG2,1Neigh,Choline-1Neigh
Choline,PTPN11,1Neigh,Choline-1Neigh
Choline,JAK1,1Neigh,Choline-1Neigh
Choline,HEBP1,1Neigh,Choline-1Neigh
Choline,APP,1Neigh,Choline-1Neigh
Choline,FPR3,1Neigh,Choline-1Neigh
Choline,MTRNR2L8,1Neigh,Choline-1Neigh
Choline,FPR1,1Neigh,Choline-1Neigh
Choline,SCT,1Neigh,Choline-1Neigh
Choline,IAPP,1Neigh,Choline-1Neigh
Choline,FFAR1,1Neigh,Choline-1Neigh
Choline,TSHB,1Neigh,Choline-1Neigh
Choline,GLP2R,1Neigh,Choline-1Neigh
Choline,GNAO1,1Neigh,Choline-1Neigh
Choline,CCKAR,1Neigh,Choline-1Neigh
Choline,ALB,1Neigh,Choline-1Neigh
Choline,NPY2R,1Neigh,Choline-1Neigh
Choline,GIP,1Neigh,Choline-1Neigh
Choline,DPP4,1Neigh,Choline-1Neigh
Choline,VIP,1Neigh,Choline-1Neigh
Choline,GNAS,1Neigh,Choline-1Neigh
Choline,GHRH,1Neigh,Choline-1Neigh
Choline,NPPA,1Neigh,Choline-1Neigh
Choline,POMC,1Neigh,Choline-1Neigh
Choline,GCG,1Neigh,Choline-1Neigh
Choline,FSHB,1Neigh,Choline-1Neigh
Choline,ADCYAP1,1Neigh,Choline-1Neigh
Choline,GIPR,1Neigh,Choline-1Neigh
Choline,SLC9A3R1,1Neigh,Choline-1Neigh
Choline,ARRDC3,1Neigh,Choline-1Neigh
Choline,CACNA1C,1Neigh,Choline-1Neigh
Choline,PTGER1,1Neigh,Choline-1Neigh
Choline,ADCY9,1Neigh,Choline-1Neigh
Choline,GRK2,1Neigh,Choline-1Neigh
Choline,GRK3,1Neigh,Choline-1Neigh
Choline,GNAL,1Neigh,Choline-1Neigh
Choline,EZR,1Neigh,Choline-1Neigh
Choline,CAV3,1Neigh,Choline-1Neigh
Choline,ADRB3,1Neigh,Choline-1Neigh
Choline,GRK6,1Neigh,Choline-1Neigh
Choline,AGT,1Neigh,Choline-1Neigh
Choline,ADRB1,1Neigh,Choline-1Neigh
Choline,USP33,1Neigh,Choline-1Neigh
Choline,GRK5,1Neigh,Choline-1Neigh
Choline,RAPGEF4,1Neigh,Choline-1Neigh
Choline,CXCR4,1Neigh,Choline-1Neigh
Choline,OPRM1,1Neigh,Choline-1Neigh
Choline,RAPGEF3,1Neigh,Choline-1Neigh
Choline,CLTC,1Neigh,Choline-1Neigh
Choline,EPHA8,1Neigh,Choline-1Neigh
Choline,STUB1,1Neigh,Choline-1Neigh
Choline,CDKN1B,1Neigh,Choline-1Neigh
Choline,DOK1,1Neigh,Choline-1Neigh
Choline,VASP,1Neigh,Choline-1Neigh
Choline,ATG14,1Neigh,Choline-1Neigh
Choline,YWHAH,1Neigh,Choline-1Neigh
Choline,RAC2,1Neigh,Choline-1Neigh
Choline,CDK4,1Neigh,Choline-1Neigh
Choline,CCND2,1Neigh,Choline-1Neigh
Choline,PIK3C3,1Neigh,Choline-1Neigh
Choline,PRDX1,1Neigh,Choline-1Neigh
Choline,TCF3,1Neigh,Choline-1Neigh
Choline,YWHAE,1Neigh,Choline-1Neigh
Choline,PXN,1Neigh,Choline-1Neigh
Choline,EPHA1,1Neigh,Choline-1Neigh
Choline,NTRK2,1Neigh,Choline-1Neigh
Choline,ATM,1Neigh,Choline-1Neigh
Choline,EPHA4,1Neigh,Choline-1Neigh
Choline,ABI2,1Neigh,Choline-1Neigh
Choline,IL3,1Neigh,Choline-1Neigh
Choline,NPM1,1Neigh,Choline-1Neigh
Choline,RUNX1,1Neigh,Choline-1Neigh
Choline,BCR,1Neigh,Choline-1Neigh
Choline,RAC3,1Neigh,Choline-1Neigh
Choline,YWHAG,1Neigh,Choline-1Neigh
Choline,RIN1,1Neigh,Choline-1Neigh
Choline,PRKDC,1Neigh,Choline-1Neigh
Choline,MRE11,1Neigh,Choline-1Neigh
Choline,SOCS3,1Neigh,Choline-1Neigh
Choline,EPHB3,1Neigh,Choline-1Neigh
Choline,EPHA3,1Neigh,Choline-1Neigh
Choline,FYN,1Neigh,Choline-1Neigh
Choline,FN1,1Neigh,Choline-1Neigh
Choline,EPHB4,1Neigh,Choline-1Neigh
Choline,EPHA2,1Neigh,Choline-1Neigh
Choline,RAD52,1Neigh,Choline-1Neigh
Choline,XRCC6,1Neigh,Choline-1Neigh
Choline,NTRK3,1Neigh,Choline-1Neigh
Choline,NCKAP1,1Neigh,Choline-1Neigh
Choline,GAB2,1Neigh,Choline-1Neigh
Choline,BECN1,1Neigh,Choline-1Neigh
Choline,ENAH,1Neigh,Choline-1Neigh
Choline,MCL1,1Neigh,Choline-1Neigh
Choline,EPHA7,1Neigh,Choline-1Neigh
