Path,Path_Length,Edge,Edge_Label,Prot_A,Prot_B
KMT2A -> H3C6 -> TP53 -> PTGS2,4,PTGS2 (interacts with) TP53,Second_Neighbor_Third,PTGS2,TP53
ALDH1A1 -> CYP2B6 -> PTGS2 -> TP53 -> PARP1,5,PTGS2 (interacts with) CYP2B6,First_Neighbor_Second,PTGS2,CYP2B6
ALDH1A1 -> CYP2B6 -> PTGS2 -> TP53 -> PARP1,5,PARP1 (interacts with) TP53,Third_Neighbor_Fourth,PARP1,TP53
ABL1 -> ATM -> TP53 -> PTGS2,4,ATM (interacts with) ABL1,Input_First_Neighbor,ATM,ABL1
ABL1 -> ATM -> TP53 -> PTGS2,4,TP53 (interacts with) ATM,First_Neighbor_Second,TP53,ATM
ALDH1A1 -> CYP2B6 -> PTGS2 -> STAT3 -> EP300,5,EP300 (interacts with) STAT3,Third_Neighbor_Fourth,EP300,STAT3
MEN1 -> JUND -> MAPK8 -> GSTP1 -> GSTM1,5,MAPK8 (interacts with) JUND,First_Neighbor_Second,MAPK8,JUND
MEN1 -> JUND -> MAPK8 -> GSTP1 -> GSTM1,5,GSTP1 (interacts with) MAPK8,Second_Neighbor_Third,GSTP1,MAPK8
GAA -> GYG1 -> GYS1 -> PPP1CA -> GRIN2A,5,GYS1 (interacts with) GYG1,First_Neighbor_Second,GYS1,GYG1
GAA -> GYG1 -> GYS1 -> PPP1CA -> GRIN2A,5,PPP1CA (interacts with) GYS1,Second_Neighbor_Third,PPP1CA,GYS1
GAA -> GYG1 -> GYS1 -> PPP1CA -> GRIN2A,5,GRIN2A (interacts with) PPP1CA,Third_Neighbor_Fourth,GRIN2A,PPP1CA
KMT2A -> CREBBP -> FOXO1 -> STK4,4,FOXO1 (interacts with) CREBBP,First_Neighbor_Second,FOXO1,CREBBP
HDAC6 -> MAPT -> PRKACA -> GRIN2A,4,PRKACA (interacts with) MAPT,First_Neighbor_Second,PRKACA,MAPT
HDAC6 -> MAPT -> PRKACA -> GRIN2A,4,GRIN2A (interacts with) PRKACA,Second_Neighbor_Third,GRIN2A,PRKACA
GAA -> GYG1 -> PYGB -> RIPK3 -> TNF,5,PYGB (interacts with) GYG1,First_Neighbor_Second,PYGB,GYG1
GAA -> GYG1 -> PYGB -> RIPK3 -> TNF,5,RIPK3 (interacts with) PYGB,Second_Neighbor_Third,RIPK3,PYGB
GAA -> GYG1 -> PYGB -> RIPK3 -> TNF,5,TNF (interacts with) RIPK3,Third_Neighbor_Fourth,TNF,RIPK3
MEN1 -> WDR5 -> ACTB -> PRKCA -> PRKD1,5,PRKCA (interacts with) ACTB,Second_Neighbor_Third,PRKCA,ACTB
MEN1 -> CTNNB1 -> NFKB1 -> TNF,4,NFKB1 (interacts with) CTNNB1,First_Neighbor_Second,NFKB1,CTNNB1
MEN1 -> CTNNB1 -> NFKB1 -> TNF,4,TNF (interacts with) NFKB1,Second_Neighbor_Third,TNF,NFKB1
ABL1 -> FYN -> GRIN2A,3,FYN (interacts with) ABL1,Input_First_Neighbor,FYN,ABL1
ABL1 -> FYN -> GRIN2A,3,GRIN2A (interacts with) FYN,First_Neighbor_Second,GRIN2A,FYN
ABL1 -> RAD52 -> RPA2 -> PARP1,4,RAD52 (interacts with) ABL1,Input_First_Neighbor,RAD52,ABL1
HDAC6 -> EP300 -> NFKB1 -> IL6,4,NFKB1 (interacts with) EP300,First_Neighbor_Second,NFKB1,EP300
HDAC6 -> EP300 -> NFKB1 -> IL6,4,IL6 (interacts with) NFKB1,Second_Neighbor_Third,IL6,NFKB1
TSHR -> POMC -> FOXO1 -> STK4,4,FOXO1 (interacts with) POMC,First_Neighbor_Second,FOXO1,POMC
MEN1 -> CTNNB1 -> CASP3 -> STK4,4,STK4 (interacts with) CASP3,Second_Neighbor_Third,STK4,CASP3
ALDH1A1 -> EPHX2 -> PRKAG1 -> FOXO1 -> STK4,5,FOXO1 (interacts with) PRKAG1,Second_Neighbor_Third,FOXO1,PRKAG1
TSHR -> POMC -> PDYN -> GRIN2A,4,PDYN (interacts with) POMC,First_Neighbor_Second,PDYN,POMC
TSHR -> POMC -> PDYN -> GRIN2A,4,GRIN2A (interacts with) PDYN,Second_Neighbor_Third,GRIN2A,PDYN
TSHR -> GNAQ -> RHOA -> RAP1A -> PRKD1,5,RHOA (interacts with) GNAQ,First_Neighbor_Second,RHOA,GNAQ
KMT2A -> CREB1 -> MECP2 -> GRIN2A,4,MECP2 (interacts with) CREB1,First_Neighbor_Second,MECP2,CREB1
KMT2A -> CREB1 -> MECP2 -> GRIN2A,4,GRIN2A (interacts with) MECP2,Second_Neighbor_Third,GRIN2A,MECP2
ALDH1A1 -> EPHX2 -> PRKAG2 -> PRKACA -> GRIN2A,5,PRKAG2 (interacts with) EPHX2,First_Neighbor_Second,PRKAG2,EPHX2
